9,12,13,14,15,16,17,code,context,question,fix,answers.all.A,answers.all.B,answers.text,answers.start_index,fact or implied,NP-RC,NP-RC edit,NP-NRC,Correct
Final,5db85ef927db78000dcd3d5c,LC-A-PM,the boy scout thanked the pack leader knitted a scarf.,Who was thanked?,C,the pack leader,LC-A-PM,the boy scout thanked the pack leader knitted a scarf.,Who was thanked?,,"the pack leader knitted a scarf
the pack leader","the pack leader knitted a scarf
the pack leader
pack leader knitted a scarf
pack leader",the pack leader,22,F,the pack leader knitted a scarf,the pack leader,the boy scout,1
Final,5db85ef927db78000dcd3d5c,GP-U-PE,the child who was saved a front row seat surprised the clown.,Who was saved a front row seat?,C,the child,GP-U-PE,the child who was saved a front row seat surprised the clown.,Who was saved a front row seat?,,"the child who was saved a front row seat
the child","the child who was saved a front row seat
the child
child who was saved a front row seat
child",the child,0,F,the child who was saved a front row seat,the child,the clown,1
Final,5db85ef927db78000dcd3d5c,LC-A-PM,the employees praised the manager prepared the report.,Who was praised?,C,the manager,LC-A-PM,the employees praised the manager prepared the report.,Who was praised?,,"the manager prepared the report
the manager","the manager prepared the report
the manager
manager prepared the report
manager",the manager,22,F,the manager prepared the report,the manager,the employees,1
Final,5db85ef927db78000dcd3d5c,LC-U-PE,the banker bragged to the millionaire who was sculpted a statue.,Who was sculpted a statue?,C,the millionaire,LC-U-PE,the banker bragged to the millionaire who was sculpted a statue.,Who was sculpted a statue?,,the millionaire,"the millionaire
millionaire",the millionaire,22,F,the millionaire who was sculpted a statue,the millionaire,the banker,1
Final,5db85ef927db78000dcd3d5c,LC-U-PE,a professor talked to the student who was found a scholarship.,Who was found a scholarship?,C,the student,LC-U-PE,a professor talked to the student who was found a scholarship.,Who was found a scholarship?,,the student,"the student
student",the student,22,F,the student who was found a scholarship,the student,a professor,1
Final,5db85ef927db78000dcd3d5c,LC-U-PE,the mayor waved to the woman who was painted the portrait.,Who was painted the portrait?,C,the woman,LC-U-PE,the mayor waved to the woman who was painted the portrait.,Who was painted the portrait?,,the woman,"the woman
woman",the woman,19,F,the woman who was painted the portrait,the woman,the mayor,1
Final,5db85ef927db78000dcd3d5c,GP-U-PE,the general who was awarded the medal annoyed the soldier.,Who was awarded the medal?,C,the general,GP-U-PE,the general who was awarded the medal annoyed the soldier.,Who was awarded the medal?,,"the general who was awarded the medal
the general","the general who was awarded the medal
the general
general who was awarded the medal
general",the general,0,F,the general who was awarded the medal,the general,the soldier,1
Final,5db85ef927db78000dcd3d5c,GP-U-PE,the dispatcher who was handed a pink slip worried about the driver.,Who was handed a pink slip?,C,the dispatcher,GP-U-PE,the dispatcher who was handed a pink slip worried about the driver.,Who was handed a pink slip?,,"the dispatcher who was handed a pink slip
the dispatcher","the dispatcher who was handed a pink slip
the dispatcher
dispatcher who was handed a pink slip
dispatcher",the dispatcher,0,F,the dispatcher who was handed a pink slip,the dispatcher,the driver,1
Final,5db85ef927db78000dcd3d5c,LC-A-PM,the host toasted the golfer cooked a special meal.,Who was toasted?,C,the golfer,LC-A-PM,the host toasted the golfer cooked a special meal.,Who was toasted?,,"the golfer cooked a special meal
the golfer","the golfer cooked a special meal
the golfer
golfer cooked a special meal
golfer",the golfer,17,F,the golfer cooked a special meal,the golfer,the host,1
Final,5db85ef927db78000dcd3d5c,LC-U-PE,the cashier smiled at the child who was bought an ice cream cone.,Who got an ice cream cone?,C,the child,LC-U-PE,the cashier smiled at the child who was bought an ice cream cone.,Who got an ice cream cone?,,the child,"the child
child",the child,22,F,the child who was bought an ice cream cone,the child,the cashier,1
Final,5db85ef927db78000dcd3d5c,GP-U-PE,the old man who was awarded the prize embraced a friend.,Who was awarded the prize?,C,the old  man,GP-U-PE,the old man who was awarded the prize embraced a friend.,Who was awarded the prize?,,"the old man who was awarded the prize
the old man","the old man who was awarded the prize
the old man
old man who was awarded the prize
old man",the old man,0,F,the old man who was awarded the prize,the old man,a friend,0
Final,5db85ef927db78000dcd3d5c,GP-A-A1,the child bought an ice cream cone smiled at the cashier.,What did the child do?,C,bought an ice cream cone and smiled at the cashier,GP-A-A1,the child bought an ice cream cone smiled at the cashier.,What did the child do?,,smiled at the cashier,"smiled at the cashier
smiled",smiled at the cashier,35,F,the child bought an ice cream cone,the child,the cashier,0
Final,5db85ef927db78000dcd3d5c,LC-U-PE,the tourist photographed the girl who was played a song.,Who was photographed?,C,the girl,LC-U-PE,the tourist photographed the girl who was played a song.,Who was photographed?,,the girl,"the girl
girl",the girl,25,F,the girl who was played a song,the girl,the tourist,1
Final,5db85ef927db78000dcd3d5c,GP-A-A1,the reporter told the rumour yelled at the witness.,What did the reporter do?,C,yelled at the witness,GP-A-A1,the reporter told the rumour yelled at the witness.,What did the reporter do?,,yelled at the witness,"yelled at the witness
yelled",yelled at the witness,29,F,the reporter told the rumour,the reporter,the witness,1
Final,5db85ef927db78000dcd3d5c,LC-A-PE,the teacher emailed the principal taught the policy.,Who was taught the policy?,C,the principal,LC-A-PE,the teacher emailed the principal taught the policy.,Who was taught the policy?,,the principal,"the principal
principal",the principal,20,F,the principal taught the policy,the principal,the teacher,1
Final,5db85ef927db78000dcd3d5c,GP-A-A1,the colonel granted leave phoned a travel agent.,What did the colonel do?,C,he phoned a travel agent,GP-A-A1,the colonel granted leave phoned a travel agent.,What did the colonel do?,,phoned a travel agent,"phoned a travel agent
phoned",phoned a travel agent,26,F,the colonel granted leave,the colonel,a travel agent,0
Final,5db85ef927db78000dcd3d5c,LC-A-PM,the soldier annoyed the general awarded the medal.,Who was annoyed?,C,the general,LC-A-PM,the soldier annoyed the general awarded the medal.,Who was annoyed?,,"the general awarded the medal
the general","the general awarded the medal
the general
general awarded the medal
general",the general,20,F,the general awarded the medal,the general,the soldier,1
Final,5db85ef927db78000dcd3d5c,LC-A-PM,the audience greeted the chef presented the new knife.,Who was greeted?,C,the chef,LC-A-PM,the audience greeted the chef presented the new knife.,Who was greeted?,,"the chef presented the new knife
the chef","the chef presented the new knife
the chef
chef presented the new knife
chef",the chef,21,F,the chef presented the new knife,the chef,the audience,1
Final,5db85ef927db78000dcd3d5c,LC-A-PE,the cardinal telephoned the priest mailed a request.,Who was mailed a request?,C,the priest,LC-A-PE,the cardinal telephoned the priest mailed a request.,Who was mailed a request?,,the priest,"the priest
priest",the priest,24,F,the priest mailed a request,the priest,the cardinal,1
Final,5db85ef927db78000dcd3d5c,GP-U-PE,the priest who was mailed a request telephoned the cardinal.,Who was mailed a request?,C,the priest,GP-U-PE,the priest who was mailed a request telephoned the cardinal.,Who was mailed a request?,,"the priest who was mailed a request
the priest","the priest who was mailed a request
the priest
priest who was mailed a request
priest",the priest,0,F,the priest who was mailed a request,the priest,the cardinal,1
Final,5db85ef927db78000dcd3d5c,LC-A-PM,the parents thanked the babysitter purchased a gift card.,Who was thanked?,C,the babysitter,LC-A-PM,the parents thanked the babysitter purchased a gift card.,Who was thanked?,,"the babysitter purchased a gift card
the babysitter","the babysitter purchased a gift card
the babysitter
babysitter purchased a gift card
babysitter",the babysitter,20,F,the babysitter purchased a gift card,the babysitter,the parents,1
Final,5db85ef927db78000dcd3d5c,GP-U-PE,the instructor who was submitted the plagiarized papers visited the dean.,Who was submitted the plagarized papers?,C,the instructor,GP-U-PE,the instructor who was submitted the plagiarized papers visited the dean.,Who was submitted the plagarized papers?,,"the instructor who was submitted the plagiarized papers
the instructor","the instructor who was submitted the plagiarized papers
the instructor
instructor who was submitted the plagiarized papers
instructor",the instructor,0,F,the instructor who was submitted the plagiarized papers,the instructor,the dean,1
Final,5fd4c08a21ae0225a62a0c6d,LC-A-A2,the host toasted the golfer cooked a special meal.,What did the golfer get?,A,roasted a golfer,LC-A-A2,the host toasted the golfer cooked a special meal.,What did the golfer get?,,"cooked a special meal
a special meal","cooked a special meal
a special meal
cooked a special meal
special meal",cooked a special meal,28,F,the golfer cooked a special meal,the golfer,the host,0
Final,5f74b3a0d780450b219f8616,LC-A-A2,the host toasted the golfer cooked a special meal.,What did the golfer get?,A,special meal,LC-A-A2,the host toasted the golfer cooked a special meal.,What did the golfer get?,,"cooked a special meal
a special meal","cooked a special meal
a special meal
cooked a special meal
special meal",cooked a special meal,28,F,the golfer cooked a special meal,the golfer,the host,1
Final,5fd4c08a21ae0225a62a0c6d,GP-A-PM,the colonel granted leave phoned a travel agent.,Who was phoned?,A,a travel agent,GP-A-PM,the colonel granted leave phoned a travel agent.,Who was phoned?,,a travel agent,"a travel agent
travel agent",a travel agent,33,F,the colonel granted leave,the colonel,a travel agent,1
Final,5f74b3a0d780450b219f8616,GP-A-PM,the colonel granted leave phoned a travel agent.,Who was phoned?,A,travel agent,GP-A-PM,the colonel granted leave phoned a travel agent.,Who was phoned?,,a travel agent,"a travel agent
travel agent",a travel agent,33,F,the colonel granted leave,the colonel,a travel agent,1
Final,5fd4c08a21ae0225a62a0c6d,GP-U-AM,the priest who was mailed a request telephoned the cardinal.,Who telephoned?,A,the priest,GP-U-AM,the priest who was mailed a request telephoned the cardinal.,Who telephoned?,,"the priest who was mailed a request
the priest","the priest who was mailed a request
the priest
priest who was mailed a request
priest",the priest,0,F,the priest who was mailed a request,the priest,the cardinal,1
Final,5f74b3a0d780450b219f8616,GP-U-AM,the priest who was mailed a request telephoned the cardinal.,Who telephoned?,A,the priest,GP-U-AM,the priest who was mailed a request telephoned the cardinal.,Who telephoned?,,"the priest who was mailed a request
the priest","the priest who was mailed a request
the priest
priest who was mailed a request
priest",the priest,0,F,the priest who was mailed a request,the priest,the cardinal,1
Final,5fd4c08a21ae0225a62a0c6d,GP-U-AM,the general who was awarded the medal annoyed the soldier.,Who annoyed the soldier?,A,the general ,GP-U-AM,the general who was awarded the medal annoyed the soldier.,Who annoyed the soldier?,,"the general who was awarded the medal
the general","the general who was awarded the medal
the general
general who was awarded the medal
general",the general,0,F,the general who was awarded the medal,the general,the soldier,1
Final,5f74b3a0d780450b219f8616,GP-U-AM,the general who was awarded the medal annoyed the soldier.,Who annoyed the soldier?,A,the general,GP-U-AM,the general who was awarded the medal annoyed the soldier.,Who annoyed the soldier?,,"the general who was awarded the medal
the general","the general who was awarded the medal
the general
general who was awarded the medal
general",the general,0,F,the general who was awarded the medal,the general,the soldier,1
Final,5fd4c08a21ae0225a62a0c6d,GP-U-AM,the scientist who was shipped critical supplies admired the tribesmen.,Who admired the tribesman?,A,the scientist,GP-U-AM,the scientist who was shipped critical supplies admired the tribesmen.,Who admired the tribesman?,,"the scientist who was shipped critical supplies
the scientist","the scientist who was shipped critical supplies
the scientist
scientist who was shipped critical supplies
scientist",the scientist,0,F,the scientist who was shipped critical supplies,the scientist,the tribesmen,1
Final,5f74b3a0d780450b219f8616,GP-U-AM,the scientist who was shipped critical supplies admired the tribesmen.,Who admired the tribesman?,A,the colonel,GP-U-AM,the scientist who was shipped critical supplies admired the tribesmen.,Who admired the tribesman?,,"the scientist who was shipped critical supplies
the scientist","the scientist who was shipped critical supplies
the scientist
scientist who was shipped critical supplies
scientist",the scientist,0,F,the scientist who was shipped critical supplies,the scientist,the tribesmen,0
Final,5fd4c08a21ae0225a62a0c6d,GP-A-PM,the neighbour crocheted a blanket envied the mailman.,Who was envied?,A,the mailman,GP-A-PM,the neighbour crocheted a blanket envied the mailman.,Who was envied?,,the mailman,"the mailman
mailman",the mailman,41,F,the neighbour crocheted a blanket,the neighbour,the mailman,1
Final,5f74b3a0d780450b219f8616,GP-A-PM,the neighbour crocheted a blanket envied the mailman.,Who was envied?,A,the mailman,GP-A-PM,the neighbour crocheted a blanket envied the mailman.,Who was envied?,,the mailman,"the mailman
mailman",the mailman,41,F,the neighbour crocheted a blanket,the neighbour,the mailman,1
Final,5fd4c08a21ae0225a62a0c6d,LC-A-AM,the cardinal telephoned the priest mailed a request.,Who telephoned?,A,the cardinal,LC-A-AM,the cardinal telephoned the priest mailed a request.,Who telephoned?,,the cardinal,"the cardinal
cardinal",the cardinal,0,F,the priest mailed a request,the priest,the cardinal,1
Final,5f74b3a0d780450b219f8616,LC-A-AM,the cardinal telephoned the priest mailed a request.,Who telephoned?,A,the cardinal,LC-A-AM,the cardinal telephoned the priest mailed a request.,Who telephoned?,,the cardinal,"the cardinal
cardinal",the cardinal,0,F,the priest mailed a request,the priest,the cardinal,1
Final,5fd4c08a21ae0225a62a0c6d,LC-A-A2,the mailman envied the neighbour crocheted a blanket.,What did the neighbor get?,A,a blanket,LC-A-A2,the mailman envied the neighbour crocheted a blanket.,What did the neighbor get?,,"crocheted a blanket
a blanket","crocheted a blanket
a blanket
crocheted a blanket
blanket",crocheted a blanket,33,F,the neighbour crocheted a blanket,the neighbour,the mailman,1
Final,5f74b3a0d780450b219f8616,LC-A-A2,the mailman envied the neighbour crocheted a blanket.,What did the neighbor get?,A,envy,LC-A-A2,the mailman envied the neighbour crocheted a blanket.,What did the neighbor get?,,"crocheted a blanket
a blanket","crocheted a blanket
a blanket
crocheted a blanket
blanket",crocheted a blanket,33,F,the neighbour crocheted a blanket,the neighbour,the mailman,0
Final,5fd4c08a21ae0225a62a0c6d,LC-U-AM,the tourist photographed the girl who was played a song.,Who photographed the girl?,A,the tourist,LC-U-AM,the tourist photographed the girl who was played a song.,Who photographed the girl?,,the tourist,"the tourist
tourist",the tourist,0,F,the girl who was played a song,the girl,the tourist,1
Final,5f74b3a0d780450b219f8616,LC-U-AM,the tourist photographed the girl who was played a song.,Who photographed the girl?,A,the tourist,LC-U-AM,the tourist photographed the girl who was played a song.,Who photographed the girl?,,the tourist,"the tourist
tourist",the tourist,0,F,the girl who was played a song,the girl,the tourist,1
Final,5fd4c08a21ae0225a62a0c6d,GP-A-PM,the reporter told the rumour yelled at the witness.,Who was yelled at?,A,at the witness,GP-A-PM,the reporter told the rumour yelled at the witness.,Who was yelled at?,,the witness,"the witness
witness",the witness,39,F,the reporter told the rumour,the reporter,the witness,0
Final,5f74b3a0d780450b219f8616,GP-A-PM,the reporter told the rumour yelled at the witness.,Who was yelled at?,A,the witness,GP-A-PM,the reporter told the rumour yelled at the witness.,Who was yelled at?,,the witness,"the witness
witness",the witness,39,F,the reporter told the rumour,the reporter,the witness,1
Final,5fd4c08a21ae0225a62a0c6d,GP-U-AM,the child who was saved a front row seat surprised the clown.,Who surprised the clown?,A,the child,GP-U-AM,the child who was saved a front row seat surprised the clown.,Who surprised the clown?,,"the child who was saved a front row seat
the child","the child who was saved a front row seat
the child
child who was saved a front row seat
child",the child,0,F,the child who was saved a front row seat,the child,the clown,1
Final,5f74b3a0d780450b219f8616,GP-U-AM,the child who was saved a front row seat surprised the clown.,Who surprised the clown?,A,the child,GP-U-AM,the child who was saved a front row seat surprised the clown.,Who surprised the clown?,,"the child who was saved a front row seat
the child","the child who was saved a front row seat
the child
child who was saved a front row seat
child",the child,0,F,the child who was saved a front row seat,the child,the clown,1
Final,5fd4c08a21ae0225a62a0c6d,LC-A-A2,the tutor hugged the boy sent an invitation.,What did the boy get?,A,an invitation,LC-A-A2,the tutor hugged the boy sent an invitation.,What did the boy get?,"x
get -> do","an invitation
an invitation","an invitation
sent an invitation
an invitation",an invitation,30,F,the boy sent an invitation,the boy,the tutor,1
Final,5f74b3a0d780450b219f8616,LC-A-A2,the tutor hugged the boy sent an invitation.,What did the boy get?,A,invitation,LC-A-A2,the tutor hugged the boy sent an invitation.,What did the boy get?,"x
get -> do","an invitation
an invitation","an invitation
sent an invitation
an invitation",an invitation,30,F,the boy sent an invitation,the boy,the tutor,0
Final,5fd4c08a21ae0225a62a0c6d,LC-U-AM,a professor talked to the student who was found a scholarship.,Who talked?,A,a professor ,LC-U-AM,a professor talked to the student who was found a scholarship.,Who talked?,,a professor,"a professor
professor",a professor,0,F,the student who was found a scholarship,the student,a professor,1
Final,5f74b3a0d780450b219f8616,LC-U-AM,a professor talked to the student who was found a scholarship.,Who talked?,A,the professor,LC-U-AM,a professor talked to the student who was found a scholarship.,Who talked?,,a professor,"a professor
professor",a professor,0,F,the student who was found a scholarship,the student,a professor,0
Final,5fd4c08a21ae0225a62a0c6d,LC-U-AM,the witness yelled at the reporter who was told the rumour.,Who yelled?,A,the witness ,LC-U-AM,the witness yelled at the reporter who was told the rumour.,Who yelled?,,the witness,"the witness
witness",the witness,0,F,the reporter who was told the rumour,the reporter,the witness,1
Final,5f74b3a0d780450b219f8616,LC-U-AM,the witness yelled at the reporter who was told the rumour.,Who yelled?,A,the witness,LC-U-AM,the witness yelled at the reporter who was told the rumour.,Who yelled?,,the witness,"the witness
witness",the witness,0,F,the reporter who was told the rumour,the reporter,the witness,1
Final,5fd4c08a21ae0225a62a0c6d,LC-A-A2,the boy scout thanked the pack leader knitted a scarf.,What did the pack leader get?,A,a scarf,LC-A-A2,the boy scout thanked the pack leader knitted a scarf.,What did the pack leader get?,,"knitted a scarf
a scarf","knitted a scarf
a scarf
knitted a scarf
scarf",knitted a scarf,38,F,the pack leader knitted a scarf,the pack leader,the boy scout,1
Final,5f74b3a0d780450b219f8616,LC-A-A2,the boy scout thanked the pack leader knitted a scarf.,What did the pack leader get?,A,knitted scarf,LC-A-A2,the boy scout thanked the pack leader knitted a scarf.,What did the pack leader get?,,"knitted a scarf
a scarf","knitted a scarf
a scarf
knitted a scarf
scarf",knitted a scarf,38,F,the pack leader knitted a scarf,the pack leader,the boy scout,0
Final,5fd4c08a21ae0225a62a0c6d,LC-U-AM,the mayor waved to the woman who was painted the portrait.,Who waved?,A,the mayor ,LC-U-AM,the mayor waved to the woman who was painted the portrait.,Who waved?,,the mayor,"the mayor
mayor",the mayor,0,F,the woman who was painted the portrait,the woman,the mayor,1
Final,5f74b3a0d780450b219f8616,LC-U-AM,the mayor waved to the woman who was painted the portrait.,Who waved?,A,mailman,LC-U-AM,the mayor waved to the woman who was painted the portrait.,Who waved?,,the mayor,"the mayor
mayor",the mayor,0,F,the woman who was painted the portrait,the woman,the mayor,0
Final,5fd4c08a21ae0225a62a0c6d,LC-U-AM,the banker bragged to the millionaire who was sculpted a statue.,Who bragged?,A,the banker,LC-U-AM,the banker bragged to the millionaire who was sculpted a statue.,Who bragged?,,the banker,"the banker
banker",the banker,0,F,the millionaire who was sculpted a statue,the millionaire,the banker,1
Final,5f74b3a0d780450b219f8616,LC-U-AM,the banker bragged to the millionaire who was sculpted a statue.,Who bragged?,A,the banker,LC-U-AM,the banker bragged to the millionaire who was sculpted a statue.,Who bragged?,,the banker,"the banker
banker",the banker,0,F,the millionaire who was sculpted a statue,the millionaire,the banker,1
Final,5fd4c08a21ae0225a62a0c6d,LC-A-A2,the audience greeted the chef presented the new knife.,What did the chef get?,A,the new knife,LC-A-A2,the audience greeted the chef presented the new knife.,What did the chef get?,"x
get -> do","the new knife
the new knife","the new knife
the new knife
new knife
new knife
presented the new knife",the new knife,40,F,the chef presented the new knife,the chef,the audience,1
Final,5f74b3a0d780450b219f8616,LC-A-A2,the audience greeted the chef presented the new knife.,What did the chef get?,A,new knife,LC-A-A2,the audience greeted the chef presented the new knife.,What did the chef get?,"x
get -> do","the new knife
the new knife","the new knife
the new knife
new knife
new knife
presented the new knife",the new knife,40,F,the chef presented the new knife,the chef,the audience,1
Final,5fd4c08a21ae0225a62a0c6d,GP-U-AM,the dispatcher who was handed a pink slip worried about the driver.,Who worried about the driver?,A,the dispatcher,GP-U-AM,the dispatcher who was handed a pink slip worried about the driver.,Who worried about the driver?,,"the dispatcher who was handed a pink slip
the dispatcher","the dispatcher who was handed a pink slip
the dispatcher
dispatcher who was handed a pink slip
dispatcher",the dispatcher,0,F,the dispatcher who was handed a pink slip,the dispatcher,the driver,1
Final,5f74b3a0d780450b219f8616,GP-U-AM,the dispatcher who was handed a pink slip worried about the driver.,Who worried about the driver?,A,blank,GP-U-AM,the dispatcher who was handed a pink slip worried about the driver.,Who worried about the driver?,,"the dispatcher who was handed a pink slip
the dispatcher","the dispatcher who was handed a pink slip
the dispatcher
dispatcher who was handed a pink slip
dispatcher",the dispatcher,0,F,the dispatcher who was handed a pink slip,the dispatcher,the driver,0
Final,5fd4c08a21ae0225a62a0c6d,GP-A-PM,the child bought an ice cream cone smiled at the cashier.,Who was smiled at?,A,at the cashier,GP-A-PM,the child bought an ice cream cone smiled at the cashier.,Who was smiled at?,,the cashier,"the cashier
cashier",the cashier,45,F,the child bought an ice cream cone,the child,the cashier,0
Final,5f74b3a0d780450b219f8616,GP-A-PM,the child bought an ice cream cone smiled at the cashier.,Who was smiled at?,A,the cashier,GP-A-PM,the child bought an ice cream cone smiled at the cashier.,Who was smiled at?,,the cashier,"the cashier
cashier",the cashier,45,F,the child bought an ice cream cone,the child,the cashier,1
Final,5fd4c08a21ae0225a62a0c6d,GP-U-AM,the boyfriend who was left a voicemail distrusted the girlfriend.,Who distrusted?,A,the boyfriend ,GP-U-AM,the boyfriend who was left a voicemail distrusted the girlfriend.,Who distrusted?,,"the boyfriend who was left a voicemail
the boyfriend","the boyfriend who was left a voicemail
the boyfriend
boyfriend who was left a voicemail
boyfriend",the boyfriend,0,F,the boyfriend who was left a voicemail,the boyfriend,the girlfriend,1
Final,5f74b3a0d780450b219f8616,GP-U-AM,the boyfriend who was left a voicemail distrusted the girlfriend.,Who distrusted?,A,the boyfriend,GP-U-AM,the boyfriend who was left a voicemail distrusted the girlfriend.,Who distrusted?,,"the boyfriend who was left a voicemail
the boyfriend","the boyfriend who was left a voicemail
the boyfriend
boyfriend who was left a voicemail
boyfriend",the boyfriend,0,F,the boyfriend who was left a voicemail,the boyfriend,the girlfriend,1
Final,5fd4c08a21ae0225a62a0c6d,GP-U-AM,the instructor who was submitted the plagiarized papers visited the dean.,Who visited the dean?,A,the instructor,GP-U-AM,the instructor who was submitted the plagiarized papers visited the dean.,Who visited the dean?,,"the instructor who was submitted the plagiarized papers
the instructor","the instructor who was submitted the plagiarized papers
the instructor
instructor who was submitted the plagiarized papers
instructor",the instructor,0,F,the instructor who was submitted the plagiarized papers,the instructor,the dean,1
Final,5f74b3a0d780450b219f8616,GP-U-AM,the instructor who was submitted the plagiarized papers visited the dean.,Who visited the dean?,A,the professor,GP-U-AM,the instructor who was submitted the plagiarized papers visited the dean.,Who visited the dean?,,"the instructor who was submitted the plagiarized papers
the instructor","the instructor who was submitted the plagiarized papers
the instructor
instructor who was submitted the plagiarized papers
instructor",the instructor,0,F,the instructor who was submitted the plagiarized papers,the instructor,the dean,0
Final,5fd4c08a21ae0225a62a0c6d,GP-U-AM,the golfer who was cooked a special meal toasted the host.,Who toasted?,A,the golfer ,GP-U-AM,the golfer who was cooked a special meal toasted the host.,Who toasted?,,"the golfer who was cooked a special meal
the golfer","the golfer who was cooked a special meal
the golfer
golfer who was cooked a special meal
golfer",the golfer,0,F,the golfer who was cooked a special meal,the golfer,the host,1
Final,5f74b3a0d780450b219f8616,GP-U-AM,the golfer who was cooked a special meal toasted the host.,Who toasted?,A,the cook,GP-U-AM,the golfer who was cooked a special meal toasted the host.,Who toasted?,,"the golfer who was cooked a special meal
the golfer","the golfer who was cooked a special meal
the golfer
golfer who was cooked a special meal
golfer",the golfer,0,F,the golfer who was cooked a special meal,the golfer,the host,0
Final,5fd4c08a21ae0225a62a0c6d,GP-U-AM,the girl who was won a stuffed bear ignored the carnival worker.,Who ignored the carnival worker?,A,the girl,GP-U-AM,the girl who was won a stuffed bear ignored the carnival worker.,Who ignored the carnival worker?,,"the girl who was won a stuffed bear
the girl","the girl who was won a stuffed bear
the girl
girl who was won a stuffed bear
girl",the girl,0,F,the girl who was won a stuffed bear,the girl,the carnival worker,1
Final,5f74b3a0d780450b219f8616,GP-U-AM,the girl who was won a stuffed bear ignored the carnival worker.,Who ignored the carnival worker?,A,the girl ,GP-U-AM,the girl who was won a stuffed bear ignored the carnival worker.,Who ignored the carnival worker?,,"the girl who was won a stuffed bear
the girl","the girl who was won a stuffed bear
the girl
girl who was won a stuffed bear
girl",the girl,0,F,the girl who was won a stuffed bear,the girl,the carnival worker,1
