code,context,question,fix,answers.all.A,answers.all.B,answers.text,answers.start_index,fact or implied,NP-RC,NP-RC edit,NP-NRC
LC-A-AM,the witness yelled at the reporter told the rumour.,Who yelled?,,the witness,"the witness
witness",the witness,0,F,the reporter told the rumour,the reporter,the witness
LC-A-PM,the witness yelled at the reporter told the rumour.,Who was yelled at?,,"the reporter told the rumour
the reporter","the reporter told the rumour
the reporter
reporter told the rumour
reporter",the reporter,22,F,the reporter told the rumour,the reporter,the witness
LC-A-PE,the witness yelled at the reporter told the rumour.,Who was told the rumour?,,the reporter,"the reporter
reporter",the reporter,22,F,the reporter told the rumour,the reporter,the witness
LC-A-A2,the girlfriend distrusted the boyfriend left a voicemail.,What did the boyfriend get?,,"left a voicemail
a voicemail","left a voicemail
a voicemail
left a voicemail
voicemail",left a voicemail,40,F,the boyfriend left a voicemail,the boyfriend,the girlfriend
LC-A-A1,the witness yelled at the reporter told the rumour.,What did the witness do?,,"yelled at the reporter
yelled at the reporter told the rumour","yelled at the reporter
yelled at the reporter told the rumour
yelled",yelled at the reporter,12,F,the reporter told the rumour,the reporter,the witness
LC-U-AM,the witness yelled at the reporter who was told the rumour.,Who yelled?,,the witness,"the witness
witness",the witness,0,F,the reporter who was told the rumour,the reporter,the witness
LC-U-PM,the witness yelled at the reporter who was told the rumour.,Who was yelled at?,,"the reporter who was told the rumour
the reporter","the reporter who was told the rumour
the reporter
reporter who was told the rumour
reporter",the reporter,22,F,the reporter who was told the rumour,the reporter,the witness
LC-U-PE,the witness yelled at the reporter who was told the rumour.,Who was told the rumour?,,the reporter,"the reporter
reporter",the reporter,22,F,the reporter who was told the rumour,the reporter,the witness
LC-U-A2,the witness yelled at the reporter who was told the rumour.,What did the reporter get?,,"told the rumour
the rumour","told the rumour
the rumour
told the rumour
rumour",told the rumour,43,F,the reporter who was told the rumour,the reporter,the witness
LC-U-A1,the witness yelled at the reporter who was told the rumour.,What did the witness do?,,"yelled at the reporter
yelled at the reporter who was told the rumour","yelled at the reporter
yelled at the reporter who was told the rumour
yelled",yelled at the reporter,12,F,the reporter who was told the rumour,the reporter,the witness
LC-A-AM,the cheerleader smiled at the teenager burned a cd.,Who smiled?,,the cheerleader,"the cheerleader
cheerleader",the cheerleader,0,F,the teenager burned a cd,the teenager,the cheerleader
LC-A-PM,the cheerleader smiled at the teenager burned a cd.,Who was smiled at?,,"the teenager burned a cd
the teenager","the teenager burned a cd
the teenager
teenager burned a cd
teenager",the teenager,26,F,the teenager burned a cd,the teenager,the cheerleader
LC-A-PE,the cheerleader smiled at the teenager burned a cd.,Who was burned a cd?,,the teenager,"the teenager
teenager",the teenager,26,F,the teenager burned a cd,the teenager,the cheerleader
LC-A-A2,the italian defeated the brit served the first ace.,What did the brit get?,"x
get -> do","served the first ace
served the first ace","served the first ace
served the first ace
the first ace
first ace",served the first ace,30,F,the brit served the first ace,the brit,the italian
LC-A-A1,the cheerleader smiled at the teenager burned a cd.,What did the cheerleader do?,,"smiled at the teenager
smiled at the teenager burned a cd","smiled at the teenager
smiled at the teenager burned a cd
smiled",smiled at the teenager,16,F,the teenager burned a cd,the teenager,the cheerleader
LC-U-AM,the cheerleader smiled at the teenager who was burned a cd.,Who smiled?,,the cheerleader,"the cheerleader
cheerleader",the cheerleader,0,F,the teenager who was burned a cd,the teenager,the cheerleader
LC-U-PM,the cheerleader smiled at the teenager who was burned a cd.,Who was smiled at?,,"the teenager who was burned a cd
the teenager","the teenager who was burned a cd
the teenager
teenager who was burned a cd
teenager",the teenager,26,F,the teenager who was burned a cd,the teenager,the cheerleader
LC-U-PE,the cheerleader smiled at the teenager who was burned a cd.,Who was burned a cd?,,the teenager,"the teenager
teenager",the teenager,26,F,the teenager who was burned a cd,the teenager,the cheerleader
LC-U-A2,the cheerleader smiled at the teenager who was burned a cd.,What did the teenager get?,,"burned a cd
a cd","burned a cd
a cd
burned a cd
cd",burned a cd,47,F,the teenager who was burned a cd,the teenager,the cheerleader
LC-U-A1,the cheerleader smiled at the teenager who was burned a cd.,What did the cheerleader do?,,"smiled at the teenager
smiled at the teenager who was burned a cd","smiled at the teenager
smiled at the teenager who was burned a cd
smiled",smiled at the teenager,16,F,the teenager who was burned a cd,the teenager,the cheerleader
LC-A-AM,the bartender winked at the woman offered a free drink.,Who winked?,,the bartender,"the bartender
bartender",the bartender,0,F,the woman offered a free drink,the woman,the bartender
LC-A-PM,the bartender winked at the woman offered a free drink.,Who was winked at?,,"the woman offered a free drink
the woman","the woman offered a free drink
the woman
woman offered a free drink
woman",the woman,24,F,the woman offered a free drink,the woman,the bartender
LC-A-PE,the bartender winked at the woman offered a free drink.,Who was offered a free drink?,,the woman,"the woman
woman",the woman,24,F,the woman offered a free drink,the woman,the bartender
LC-A-A2,the audience greeted the chef presented the new knife.,What did the chef get?,"x
get -> do","the new knife
the new knife","the new knife
the new knife
new knife
new knife
presented the new knife",the new knife,40,F,the chef presented the new knife,the chef,the audience
LC-A-A1,the bartender winked at the woman offered a free drink.,What did the bartender do?,,"winked at the woman
winked at the woman offered a free drink","winked at the woman
winked at the woman offered a free drink
winked",winked at the woman,14,F,the woman offered a free drink,the woman,the bartender
LC-U-AM,the bartender winked at the woman who was offered a free drink.,Who winked?,,the bartender,"the bartender
bartender",the bartender,0,F,the woman who was offered a free drink,the woman,the bartender
LC-U-PM,the bartender winked at the woman who was offered a free drink.,Who was winked at?,,"the woman who was offered a free drink
the woman","the woman who was offered a free drink
the woman
woman who was offered a free drink
woman",the woman,24,F,the woman who was offered a free drink,the woman,the bartender
LC-U-PE,the bartender winked at the woman who was offered a free drink.,Who was offered a free drink?,,the woman,"the woman
woman",the woman,24,F,the woman who was offered a free drink,the woman,the bartender
LC-U-A2,the bartender winked at the woman who was offered a free drink.,What did the woman get?,,"offered a free drink
a free drink","offered a free drink
a free drink
offered a free drink
free drink",offered a free drink,42,F,the woman who was offered a free drink,the woman,the bartender
LC-U-A1,the bartender winked at the woman who was offered a free drink.,What did the bartender do?,,"winked at the woman
winked at the woman who was offered a free drink","winked at the woman
winked at the woman who was offered a free drink
winked",winked at the woman,14,F,the woman who was offered a free drink,the woman,the bartender
LC-A-AM,the classmate tattled on the girl passed a note.,Who tattled?,,the classmate,"the classmate
classmate",the classmate,0,F,the girl passed a note,the girl,the classmate
LC-A-PM,the classmate tattled on the girl passed a note.,Who was tattled on?,,"the girl passed a note
the girl","the girl passed a note
the girl
girl passed a note
girl",the girl,25,F,the girl passed a note,the girl,the classmate
LC-A-PE,the classmate tattled on the girl passed a note.,Who was passed a note?,,the girl,"the girl
girl",the girl,25,F,the girl passed a note,the girl,the classmate
LC-A-A2,the cashier smiled at the child bought an ice cream cone.,What did the child get?,,"bought an ice cream cone
an ice cream cone","bought an ice cream cone
an ice cream cone",bought an ice cream cone,32,F,the child bought an ice cream cone,the child,the cashier
LC-A-A1,the classmate tattled on the girl passed a note.,What did the classmate do?,,"tattled on the girl
tattled on the girl passed a note","tattled on the girl
tattled on the girl passed a note
tattled",tattled on the girl,14,F,the girl passed a note,the girl,the classmate
LC-U-AM,the classmate  tattled on the girl who was passed a note.,Who tattled?,,the classmate,"the classmate 
classmate",the classmate,0,F,the girl who was passed a note,the girl,the classmate
LC-U-PM,the classmate  tattled on the girl who was passed a note.,Who was tattled on?,,"the girl who was passed a note
the girl","the girl who was passed a note
the girl
girl who was passed a note
girl",the girl,26,F,the girl who was passed a note,the girl,the classmate
LC-U-PE,the classmate  tattled on the girl who was passed a note.,Who was passed a note?,,the girl,"the girl
girl",the girl,26,F,the girl who was passed a note,the girl,the classmate
LC-U-A2,the classmate  tattled on the girl who was passed a note.,What did the girl get?,,"passed a note
a note","passed a note
a note
passed a note
note",passed a note,43,F,the girl who was passed a note,the girl,the classmate
LC-U-A1,the classmate  tattled on the girl who was passed a note.,What did the classmate do?,,"tattled on the girl
tattled on the girl who was passed a note","tattled on the girl
tattled on the girl who was passed a note
tattled",tattled on the girl,15,F,the girl who was passed a note,the girl,the classmate
GP-A-AM,the babysitter purchased a gift card thanked the parents.,Who said thanks?,,"the babysitter purchased a gift card
the babysitter","the babysitter purchased a gift card
the babysitter
babysitter purchased a gift card
babysitter",the babysitter,0,F,the babysitter purchased a gift card,the babysitter,the parents
GP-A-PM,the babysitter purchased a gift card thanked the parents.,Who was thanked?,,the parents,"the parents
parents",the parents,45,F,the babysitter purchased a gift card,the babysitter,the parents
GP-A-PE,the babysitter purchased a gift card thanked the parents.,Who got a gift card?,,"the babysitter purchased a gift card
the babysitter","the babysitter purchased a gift card
the babysitter
babysitter purchased a gift card
babysitter",the babysitter,0,F,the babysitter purchased a gift card,the babysitter,the parents
GP-A-A1,the babysitter purchased a gift card thanked the parents.,What did the babysitter do?,,thanked the parents,thanked the parents,thanked the parents,37,F,the babysitter purchased a gift card,the babysitter,the parents
LC-A-AM,the parents thanked the babysitter purchased a gift card.,Who said thanks?,,the parents,"the parents
parents",the parents,0,F,the babysitter purchased a gift card,the babysitter,the parents
LC-A-PM,the parents thanked the babysitter purchased a gift card.,Who was thanked?,,"the babysitter purchased a gift card
the babysitter","the babysitter purchased a gift card
the babysitter
babysitter purchased a gift card
babysitter",the babysitter,20,F,the babysitter purchased a gift card,the babysitter,the parents
LC-A-PE,the parents thanked the babysitter purchased a gift card.,Who got a gift card?,,the babysitter,"the babysitter
babysitter",the babysitter,20,F,the babysitter purchased a gift card,the babysitter,the parents
LC-A-A2,the clown surprised the child saved a front row seat.,What did the child get?,,"saved a front row seat
a front row seat","saved a front row seat
a front row seat
saved a front row seat
front row seat",saved a front row seat,30,F,the child saved a front row seat,the child,the clown
LC-A-A1,the parents thanked the babysitter purchased a gift card.,What did the parents do?,,"thanked the babysitter
thanked the babysitter purchased a gift card","thanked the babysitter
thanked the babysitter purchased a gift card",thanked the babysitter,12,F,the babysitter purchased a gift card,the babysitter,the parents
GP-U-AM,the babysitter who was purchased a gift card thanked the parents.,Who said thanks?,,"the babysitter who was purchased a gift card
the babysitter","the babysitter who was purchased a gift card
the babysitter
babysitter who was purchased a gift card
babysitter",the babysitter,0,F,the babysitter who was purchased a gift card,the babysitter,the parents
GP-U-PM,the babysitter who was purchased a gift card thanked the parents.,Who was thanked?,,the parents,"the parents
parents",the parents,53,F,the babysitter who was purchased a gift card,the babysitter,the parents
GP-U-PE,the babysitter who was purchased a gift card thanked the parents.,Who got a gift card?,,"the babysitter who was purchased a gift card
the babysitter","the babysitter who was purchased a gift card
the babysitter
babysitter who was purchased a gift card
babysitter",the babysitter,0,F,the babysitter who was purchased a gift card,the babysitter,the parents
GP-U-A1,the babysitter who was purchased a gift card thanked the parents.,What did the babysitter do?,,thanked the parents,thanked the parents,thanked the parents,45,F,the babysitter who was purchased a gift card,the babysitter,the parents
LC-A-AM,the parents thanked the babysitter who was purchased a gift card.,Who said thanks?,,the parents,"the parents
parents",the parents,0,F,the babysitter who was purchased a gift card,the babysitter,the parents
LC-A-PM,the parents thanked the babysitter who was purchased a gift card.,Who was thanked?,,"the babysitter who was purchased a gift card
the babysitter","the babysitter who was purchased a gift card
the babysitter
babysitter who was purchased a gift card
babysitter",the babysitter,20,F,the babysitter who was purchased a gift card,the babysitter,the parents
LC-U-PE,the parents thanked the babysitter who was purchased a gift card.,Who got a gift card?,,the babysitter,"the babysitter
babysitter",the babysitter,20,F,the babysitter who was purchased a gift card,the babysitter,the parents
LC-U-A2,the parents thanked the babysitter who was purchased a gift card.,What did the babysitter get?,,"purchased a gift card
a gift card","purchased a gift card
a gift card
purchased a gift card
gift card",purchased a gift card,43,F,the babysitter who was purchased a gift card,the babysitter,the parents
LC-U-A1,the parents thanked the babysitter who was purchased a gift card.,What did the parents do?,,"thanked the babysitter
thanked the babysitter who was purchased a gift card","thanked the babysitter
thanked the babysitter who was purchased a gift card",thanked the babysitter,12,F,the babysitter who was purchased a gift card,the babysitter,the parents
GP-A-PM,the boy sent an invitation hugged the tutor.,Who was hugged?,,the tutor,"the tutor
tutor",the tutor,34,F,the boy sent an invitation,the boy,the tutor
GP-A-PE,the boy sent an invitation hugged the tutor.,Who got an invitation?,,"the boy sent an invitation
the boy","the boy sent an invitation
the boy
boy sent an invitation
boy",the boy,0,F,the boy sent an invitation,the boy,the tutor
GP-A-A1,the boy sent an invitation hugged the tutor.,What did the boy do?,,hugged the tutor,"hugged the tutor
hugged",hugged the tutor,27,F,the boy sent an invitation,the boy,the tutor
LC-A-AM,the tutor hugged the boy sent an invitation.,Who gave a hug?,,the tutor,"the tutor
tutor",the tutor,0,F,the boy sent an invitation,the boy,the tutor
LC-A-PM,the tutor hugged the boy sent an invitation.,Who got a hug?,,"the boy sent an invitation
the boy","the boy sent an invitation
the boy
boy sent an invitation
boy",the boy,17,F,the boy sent an invitation,the boy,the tutor
LC-A-PE,the tutor hugged the boy sent an invitation.,Who got an invitation?,,the boy,"the boy
boy",the boy,17,F,the boy sent an invitation,the boy,the tutor
LC-A-A1,the tutor hugged the boy sent an invitation.,What did the tutor do?,"x
do -> get","hugged the boy
the boy","hugged the boy
hugged the boy sent an invitation
hugged",hugged the boy,10,F,the boy sent an invitation,the boy,the tutor
LC-A-A2,the nanny hugged the child read a story.,What did the child get?,"x
get -> do","read a story
read a story","read a story
read a story
a story
story",read a story,27,F,the child read a story,the child,the nanny
GP-A-AM,the boy sent an invitation hugged the tutor.,Who hugged the tutor?,,"the boy sent an invitation
the boy","the boy sent an invitation
the boy
boy sent an invitation
boy",the boy,0,F,the boy sent an invitation,the boy,the tutor
GP-U-AM,the boy who was sent an invitation hugged the tutor.,Who hugged the tutor?,,"the boy who was sent an invitation
the boy","the boy who was sent an invitation
the boy
boy who was sent an invitation
boy",the boy,0,F,the boy who was sent an invitation,the boy,the tutor
GP-U-PM,the boy who was sent an invitation hugged the tutor.,Who was hugged?,,the tutor,"the tutor
tutor",the tutor,42,F,the boy who was sent an invitation,the boy,the tutor
GP-U-PE,the boy who was sent an invitation hugged the tutor.,Who got an invitation?,,"the boy who was sent an invitation
the boy","the boy who was sent an invitation
the boy
boy who was sent an invitation
boy",the boy,0,F,the boy who was sent an invitation,the boy,the tutor
GP-U-A1,the boy who was sent an invitation hugged the tutor.,What did the boy do?,,hugged the tutor,"hugged the tutor
hugged",hugged the tutor,35,F,the boy who was sent an invitation,the boy,the tutor
LC-U-AM,the tutor hugged the boy who was sent an invitation.,Who gave a hug?,,the tutor,"the tutor
tutor",the tutor,0,F,the boy who was sent an invitation,the boy,the tutor
LC-U-PM,the tutor hugged the boy who was sent an invitation.,Who got a hug?,,"the boy who was sent an invitation
the boy","the boy who was sent an invitation
the boy
boy who was sent an invitation
boy",the boy,17,F,the boy who was sent an invitation,the boy,the tutor
LC-U-PE,the tutor hugged the boy who was sent an invitation.,Who got an invitation?,,the boy,"the boy
boy",the boy,17,F,the boy who was sent an invitation,the boy,the tutor
LC-U-A1,the tutor hugged the boy who was sent an invitation.,What did the tutor do?,"x
do -> get","hugged the boy
the boy","hugged the boy
hugged the boy who was sent an invitation
hugged",hugged the boy,10,F,the boy who was sent an invitation,the boy,the tutor
LC-U-A2,the tutor hugged the boy who was sent an invitation.,What did the boy get?,"x
get -> do","an invitation
an invitation","an invitation
sent an invitation
an invitation",an invitation,38,F,the boy who was sent an invitation,the boy,the tutor
GP-A-PM,the boyfriend left a voicemail distrusted the girlfriend.,Who was distrusted?,,the girlfriend,"the girlfriend
girlfriend",the girlfriend,42,F,the boyfriend left a voicemail,the boyfriend,the girlfriend
GP-A-PE,the boyfriend left a voicemail distrusted the girlfriend.,Who got a voicemail?,,"the boyfriend left a voicemail
the boyfriend","the boyfriend left a voicemail
the boyfriend
boyfriend left a voicemail
boyfriend",the boyfriend,0,F,the boyfriend left a voicemail,the boyfriend,the girlfriend
GP-A-A1,the boyfriend left a voicemail distrusted the girlfriend.,What did the boyfriend do?,,distrusted the girlfriend,"distrusted the girlfriend
distrusted",distrusted the girlfriend,31,F,the boyfriend left a voicemail,the boyfriend,the girlfriend
LC-A-AM,the girlfriend distrusted the boyfriend left a voicemail.,Who distrusted?,,the girlfriend,"the girlfriend
girlfriend",the girlfriend,0,F,the boyfriend left a voicemail,the boyfriend,the girlfriend
LC-A-PM,the girlfriend distrusted the boyfriend left a voicemail.,Who was distrusted?,,"the boyfriend left a voicemail
the boyfriend","the boyfriend left a voicemail
the boyfriend
boyfriend left a voicemail
boyfriend",the boyfriend,26,F,the boyfriend left a voicemail,the boyfriend,the girlfriend
LC-A-PE,the girlfriend distrusted the boyfriend left a voicemail.,Who got a voicemail?,,the boyfriend,"the boyfriend
boyfriend",the boyfriend,26,F,the boyfriend left a voicemail,the boyfriend,the girlfriend
LC-A-A2,a travel agent phoned the colonel granted leave.,What did the colonel get?,,"granted leave
leave","granted leave
leave",granted leave,34,F,the colonel granted leave,the colonel,a travel agent
LC-A-A1,the girlfriend distrusted the boyfriend left a voicemail.,What did the girlfriend do?,,"distrusted the boyfriend
distrusted the boyfriend left a voicemail","distrusted the boyfriend
distrusted the boyfriend left a voicemail
distrusted",distrusted the boyfriend,15,F,the boyfriend left a voicemail,the boyfriend,the girlfriend
GP-A-AM,the boyfriend left a voicemail distrusted the girlfriend.,Who distrusted?,,"the boyfriend left a voicemail
the boyfriend","the boyfriend left a voicemail
the boyfriend
boyfriend left a voicemail
boyfriend",the boyfriend,0,F,the boyfriend left a voicemail,the boyfriend,the girlfriend
GP-U-AM,the boyfriend who was left a voicemail distrusted the girlfriend.,Who distrusted?,,"the boyfriend who was left a voicemail
the boyfriend","the boyfriend who was left a voicemail
the boyfriend
boyfriend who was left a voicemail
boyfriend",the boyfriend,0,F,the boyfriend who was left a voicemail,the boyfriend,the girlfriend
GP-U-PM,the boyfriend who was left a voicemail distrusted the girlfriend.,Who was distrusted?,,the girlfriend,"the girlfriend
girlfriend",the girlfriend,50,F,the boyfriend who was left a voicemail,the boyfriend,the girlfriend
GP-U-PE,the boyfriend who was left a voicemail distrusted the girlfriend.,Who got a voicemail?,,"the boyfriend who was left a voicemail
the boyfriend","the boyfriend who was left a voicemail
the boyfriend
boyfriend who was left a voicemail
boyfriend",the boyfriend,0,F,the boyfriend who was left a voicemail,the boyfriend,the girlfriend
GP-U-A1,the boyfriend who was left a voicemail distrusted the girlfriend.,What did the boyfriend do?,,distrusted the girlfriend,"distrusted the girlfriend
distrusted",distrusted the girlfriend,39,F,the boyfriend who was left a voicemail,the boyfriend,the girlfriend
LC-U-AM,the girlfriend distrusted the boyfriend who was left a voicemail.,Who distrusted?,,the girlfriend,"the girlfriend
girlfriend",the girlfriend,0,F,the boyfriend who was left a voicemail,the boyfriend,the girlfriend
LC-U-PM,the girlfriend distrusted the boyfriend who was left a voicemail.,Who was distrusted?,,"the boyfriend who was left a voicemail
the boyfriend","the boyfriend who was left a voicemail
the boyfriend
boyfriend who was left a voicemail
boyfriend",the boyfriend,26,F,the boyfriend who was left a voicemail,the boyfriend,the girlfriend
LC-U-PE,the girlfriend distrusted the boyfriend who was left a voicemail.,Who got a voicemail?,,the boyfriend,"the boyfriend
boyfriend",the boyfriend,26,F,the boyfriend who was left a voicemail,the boyfriend,the girlfriend
LC-U-A2,the girlfriend distrusted the boyfriend who was left a voicemail.,What did the boyfriend get?,,"left a voicemail
a voicemail","left a voicemail
a voicemail
left a voicemail
voicemail",left a voicemail,48,F,the boyfriend who was left a voicemail,the boyfriend,the girlfriend
LC-U-A1,the girlfriend distrusted the boyfriend who was left a voicemail.,What did the girlfriend do?,,"distrusted the boyfriend
distrusted the boyfriend who was left a voicemail","distrusted the boyfriend
distrusted the boyfriend who was left a voicemail
distrusted",distrusted the boyfriend,15,F,the boyfriend who was left a voicemail,the boyfriend,the girlfriend
GP-A-PM,the brit served the first ace defeated the italian.,Who was defeated?,,the italian,"the italian
italian",the italian,39,F,the brit served the first ace,the brit,the italian
GP-A-PE,the brit served the first ace defeated the italian.,Who was served the first ace?,,"the brit served the first ace
the brit","the brit served the first ace
the brit
brit served the first ace
brit",the brit,0,F,the brit served the first ace,the brit,the italian
GP-A-A1,the brit served the first ace defeated the italian.,What did the brit do?,,defeated the italian,"defeated the italian
defeated",defeated the italian,30,F,the brit served the first ace,the brit,the italian
LC-A-AM,the italian defeated the brit served the first ace.,Who defeated?,,the italian,"the italian
italian",the italian,0,F,the brit served the first ace,the brit,the italian
LC-A-PM,the italian defeated the brit served the first ace.,Who was defeated?,,"the brit served the first ace
the brit","the brit served the first ace
the brit
brit served the first ace
brit",the brit,21,F,the brit served the first ace,the brit,the italian
LC-A-PE,the italian defeated the brit served the first ace.,Who was served the first ace?,,the brit,"the brit
brit",the brit,21,F,the brit served the first ace,the brit,the italian
LC-A-A1,the italian defeated the brit served the first ace.,What did the italian do?,"x
do -> get","defeated the brit
the brit","defeated the brit
defeated the brit served the first ace
defeated",defeated the brit,12,F,the brit served the first ace,the brit,the italian
LC-A-A2,the driver worried about the dispatcher handed a pink slip.,What did the dispatcher get?,,"handed a pink slip
a pink slip","handed a pink slip
a pink slip
handed a pink slip
pink slip",handed a pink slip,40,F,the dispatcher handed a pink slip,the dispatcher,the driver
GP-A-AM,the brit served the first ace defeated the italian.,Who defeated?,,"the brit served the first ace
the brit","the brit served the first ace
the brit
brit served the first ace
brit",the brit,0,F,the brit served the first ace,the brit,the italian
GP-U-AM,the brit who was served the first ace defeated the italian.,Who defeated?,,"the brit who was served the first ace
the brit","the brit who was served the first ace
the brit
brit who was served the first ace
brit",the brit,0,F,the brit who was served the first ace,the brit,the italian
GP-U-PM,the brit who was served the first ace defeated the italian.,Who was defeated?,,the italian,"the italian
italian",the italian,47,F,the brit who was served the first ace,the brit,the italian
GP-U-PE,the brit who was served the first ace defeated the italian.,Who was served the first ace?,,"the brit who was served the first ace
the brit","the brit who was served the first ace
the brit
brit who was served the first ace
brit",the brit,0,F,the brit who was served the first ace,the brit,the italian
GP-U-A1,the brit who was served the first ace defeated the italian.,What did the brit do?,,defeated the italian,"defeated the italian
defeated",defeated the italian,38,F,the brit who was served the first ace,the brit,the italian
LC-U-AM,the italian defeated the brit who was served the first ace.,Who defeated?,,the italian,"the italian
italian",the italian,0,F,the brit who was served the first ace,the brit,the italian
LC-U-PM,the italian defeated the brit who was served the first ace.,Who was defeated?,,"the brit who was served the first ace
the brit","the brit who was served the first ace
the brit
brit who was served the first ace
brit",the brit,21,F,the brit who was served the first ace,the brit,the italian
LC-U-PE,the italian defeated the brit who was served the first ace.,Who was served the first ace?,,the brit,"the brit
brit",the brit,21,F,the brit who was served the first ace,the brit,the italian
LC-U-A1,the italian defeated the brit who was served the first ace.,What did the italian do?,"x
do -> get","defeated the brit
the brit","defeated the brit
defeated the brit who was served the first ace
defeated",defeated the brit,12,F,the brit who was served the first ace,the brit,the italian
LC-U-A2,the italian defeated the brit who was served the first ace.,What did the brit get?,"x
get -> do","served the first ace
served the first ace","served the first ace
served the first ace
the first ace
first ace",served the first ace,38,F,the brit who was served the first ace,the brit,the italian
GP-A-PM,the chef presented the new knife greeted the audience.,Who was greeted?,,the audience,"the audience
audience",the audience,41,F,the chef presented the new knife,the chef,the audience
GP-A-PE,the chef presented the new knife greeted the audience.,Who got a new knife?,,"the chef presented the new knife
the chef","the chef presented the new knife
the chef
chef presented the new knife
chef",the chef,0,F,the chef presented the new knife,the chef,the audience
