Code,Context,Question,Answer,Model_Ans,Score,Correct
LC-U-A1,the classmate  tattled on the girl who was passed a note.,What did the classmate do?,"tattled on the girl
tattled on the girl who was passed a note
tattled",tattled,0.3013104200363159,1
GP-A-AM,the babysitter purchased a gift card thanked the parents.,Who said thanks?,"the babysitter purchased a gift card
the babysitter
babysitter purchased a gift card
babysitter",the babysitter purchased a gift card thanked the parents,0.2108580619096756,0
GP-A-PM,the babysitter purchased a gift card thanked the parents.,Who was thanked?,"the parents
parents",the parents,0.4733288884162903,1
GP-A-PE,the babysitter purchased a gift card thanked the parents.,Who got a gift card?,"the babysitter purchased a gift card
the babysitter
babysitter purchased a gift card
babysitter",the babysitter,0.05811065435409546,1
GP-A-A1,the babysitter purchased a gift card thanked the parents.,What did the babysitter do?,thanked the parents,purchased a gift card thanked the parents,0.1073826402425766,0
LC-A-AM,the parents thanked the babysitter purchased a gift card.,Who said thanks?,"the parents
parents",the parents thanked the babysitter,0.22428098320960999,0
LC-A-PM,the parents thanked the babysitter purchased a gift card.,Who was thanked?,"the babysitter purchased a gift card
the babysitter
babysitter purchased a gift card
babysitter",the babysitter,0.11213842034339905,1
LC-A-PE,the parents thanked the babysitter purchased a gift card.,Who got a gift card?,"the babysitter
babysitter",the parents thanked the babysitter,0.17465649545192719,0
LC-A-A2,the clown surprised the child saved a front row seat.,What did the child get?,"saved a front row seat
a front row seat
saved a front row seat
front row seat",saved a front row seat,0.14151041209697723,1
LC-A-A1,the parents thanked the babysitter purchased a gift card.,What did the parents do?,"thanked the babysitter
thanked the babysitter purchased a gift card",the parents thanked the babysitter purchased a gift card,0.14342713356018066,0
GP-U-AM,the babysitter who was purchased a gift card thanked the parents.,Who said thanks?,"the babysitter who was purchased a gift card
the babysitter
babysitter who was purchased a gift card
babysitter",the babysitter who was purchased a gift card thanked the parents,0.36399045586586,0
GP-U-PM,the babysitter who was purchased a gift card thanked the parents.,Who was thanked?,"the parents
parents",the parents,0.4351339340209961,1
GP-U-PE,the babysitter who was purchased a gift card thanked the parents.,Who got a gift card?,"the babysitter who was purchased a gift card
the babysitter
babysitter who was purchased a gift card
babysitter",the babysitter,0.6204566359519958,1
GP-U-A1,the babysitter who was purchased a gift card thanked the parents.,What did the babysitter do?,thanked the parents,thanked the parents,0.08231108635663986,1
LC-A-AM,the parents thanked the babysitter who was purchased a gift card.,Who said thanks?,"the parents
parents",the parents,0.16620764136314392,1
LC-A-PM,the parents thanked the babysitter who was purchased a gift card.,Who was thanked?,"the babysitter who was purchased a gift card
the babysitter
babysitter who was purchased a gift card
babysitter",the babysitter,0.48963871598243713,1
LC-U-PE,the parents thanked the babysitter who was purchased a gift card.,Who got a gift card?,"the babysitter
babysitter",the parents thanked the babysitter,0.3174179196357727,0
LC-U-A2,the parents thanked the babysitter who was purchased a gift card.,What did the babysitter get?,"purchased a gift card
a gift card
purchased a gift card
gift card",a gift card,0.651793360710144,1
LC-U-A1,the parents thanked the babysitter who was purchased a gift card.,What did the parents do?,"thanked the babysitter
thanked the babysitter who was purchased a gift card",thanked the babysitter who was purchased a gift card,0.2997457981109619,1
GP-A-PM,the boy sent an invitation hugged the tutor.,Who was hugged?,"the tutor
tutor",the tutor,0.19183297455310822,1
GP-A-PE,the boy sent an invitation hugged the tutor.,Who got an invitation?,"the boy sent an invitation
the boy
boy sent an invitation
boy",the boy sent an invitation hugged the tutor,0.040762774646282196,0
GP-A-A1,the boy sent an invitation hugged the tutor.,What did the boy do?,"hugged the tutor
hugged",sent an invitation hugged the tutor,0.17003345489501953,0
LC-A-AM,the tutor hugged the boy sent an invitation.,Who gave a hug?,"the tutor
tutor",the tutor,0.09183530509471893,1
LC-A-PM,the tutor hugged the boy sent an invitation.,Who got a hug?,"the boy sent an invitation
the boy
boy sent an invitation
boy",the tutor,0.01700729876756668,0
LC-A-PE,the tutor hugged the boy sent an invitation.,Who got an invitation?,"the boy
boy",the tutor hugged the boy,0.25568467378616333,0
LC-A-A1,the tutor hugged the boy sent an invitation.,What did the tutor do?,"hugged the boy
hugged the boy sent an invitation
hugged",hugged the boy sent an invitation,0.26833435893058777,1
LC-A-A2,the nanny hugged the child read a story.,What did the child get?,"read a story
read a story
a story
story",read a story,0.34789764881134033,1
GP-A-AM,the boy sent an invitation hugged the tutor.,Who hugged the tutor?,"the boy sent an invitation
the boy
boy sent an invitation
boy",the boy sent an invitation,0.05597836896777153,1
GP-U-AM,the boy who was sent an invitation hugged the tutor.,Who hugged the tutor?,"the boy who was sent an invitation
the boy
boy who was sent an invitation
boy",the boy,0.07090004533529282,1
GP-U-PM,the boy who was sent an invitation hugged the tutor.,Who was hugged?,"the tutor
tutor",the tutor,0.14033691585063934,1
GP-U-PE,the boy who was sent an invitation hugged the tutor.,Who got an invitation?,"the boy who was sent an invitation
the boy
boy who was sent an invitation
boy",the boy,0.2728554904460907,1
GP-U-A1,the boy who was sent an invitation hugged the tutor.,What did the boy do?,"hugged the tutor
hugged",sent an invitation,0.02709520421922207,0
LC-U-AM,the tutor hugged the boy who was sent an invitation.,Who gave a hug?,"the tutor
tutor",the tutor,0.09298594295978546,1
LC-U-PM,the tutor hugged the boy who was sent an invitation.,Who got a hug?,"the boy who was sent an invitation
the boy
boy who was sent an invitation
boy",the tutor,0.013841625303030014,0
LC-U-PE,the tutor hugged the boy who was sent an invitation.,Who got an invitation?,"the boy
boy",the boy,0.15229155123233795,1
LC-U-A1,the tutor hugged the boy who was sent an invitation.,What did the tutor do?,"hugged the boy
hugged the boy who was sent an invitation
hugged",hugged,0.3683050572872162,1
LC-U-A2,the tutor hugged the boy who was sent an invitation.,What did the boy get?,"an invitation
sent an invitation
an invitation",an invitation,0.3838178813457489,1
GP-A-PM,the boyfriend left a voicemail distrusted the girlfriend.,Who was distrusted?,"the girlfriend
girlfriend",the boyfriend left a voicemail distrusted the girlfriend,0.3585338294506073,0
GP-A-PE,the boyfriend left a voicemail distrusted the girlfriend.,Who got a voicemail?,"the boyfriend left a voicemail
the boyfriend
boyfriend left a voicemail
boyfriend",the boyfriend,0.12400583177804947,1
GP-A-A1,the boyfriend left a voicemail distrusted the girlfriend.,What did the boyfriend do?,"distrusted the girlfriend
distrusted",left a voicemail distrusted the girlfriend,0.1269281655550003,0
LC-A-AM,the girlfriend distrusted the boyfriend left a voicemail.,Who distrusted?,"the girlfriend
girlfriend",the girlfriend,0.26483163237571716,1
LC-A-PM,the girlfriend distrusted the boyfriend left a voicemail.,Who was distrusted?,"the boyfriend left a voicemail
the boyfriend
boyfriend left a voicemail
boyfriend",the girlfriend,0.25970083475112915,0
LC-A-PE,the girlfriend distrusted the boyfriend left a voicemail.,Who got a voicemail?,"the boyfriend
boyfriend",the girlfriend distrusted the boyfriend,0.08804234117269516,0
LC-A-A2,a travel agent phoned the colonel granted leave.,What did the colonel get?,"granted leave
leave",granted leave,0.0015339561505243182,1
LC-A-A1,the girlfriend distrusted the boyfriend left a voicemail.,What did the girlfriend do?,"distrusted the boyfriend
distrusted the boyfriend left a voicemail
distrusted",left a voicemail,0.044940847903490067,0
GP-A-AM,the boyfriend left a voicemail distrusted the girlfriend.,Who distrusted?,"the boyfriend left a voicemail
the boyfriend
boyfriend left a voicemail
boyfriend",the boyfriend left a voicemail distrusted the girlfriend,0.26522278785705566,0
GP-U-AM,the boyfriend who was left a voicemail distrusted the girlfriend.,Who distrusted?,"the boyfriend who was left a voicemail
the boyfriend
boyfriend who was left a voicemail
boyfriend",the boyfriend who was left a voicemail distrusted the girlfriend,0.11199721693992615,0
GP-U-PM,the boyfriend who was left a voicemail distrusted the girlfriend.,Who was distrusted?,"the girlfriend
girlfriend",the boyfriend who was left a voicemail distrusted the girlfriend,0.17996540665626526,0
GP-U-PE,the boyfriend who was left a voicemail distrusted the girlfriend.,Who got a voicemail?,"the boyfriend who was left a voicemail
the boyfriend
boyfriend who was left a voicemail
boyfriend",the boyfriend,0.11964550614356995,1
GP-U-A1,the boyfriend who was left a voicemail distrusted the girlfriend.,What did the boyfriend do?,"distrusted the girlfriend
distrusted",distrusted the girlfriend,0.02129552885890007,1
LC-U-AM,the girlfriend distrusted the boyfriend who was left a voicemail.,Who distrusted?,"the girlfriend
girlfriend",the girlfriend,0.4213626980781555,1
LC-U-PM,the girlfriend distrusted the boyfriend who was left a voicemail.,Who was distrusted?,"the boyfriend who was left a voicemail
the boyfriend
boyfriend who was left a voicemail
boyfriend",the girlfriend,0.39292922616004944,0
LC-U-PE,the girlfriend distrusted the boyfriend who was left a voicemail.,Who got a voicemail?,"the boyfriend
boyfriend",the girlfriend distrusted the boyfriend,0.12879018485546112,0
LC-U-A2,the girlfriend distrusted the boyfriend who was left a voicemail.,What did the boyfriend get?,"left a voicemail
a voicemail
left a voicemail
voicemail",left a voicemail,0.00020604286692105234,1
LC-U-A1,the girlfriend distrusted the boyfriend who was left a voicemail.,What did the girlfriend do?,"distrusted the boyfriend
distrusted the boyfriend who was left a voicemail
distrusted",distrusted the boyfriend who was left a voicemail,0.048631999641656876,1
GP-A-PM,the brit served the first ace defeated the italian.,Who was defeated?,"the italian
italian",the brit served the first ace defeated the italian,0.0010803663171827793,0
GP-A-PE,the brit served the first ace defeated the italian.,Who was served the first ace?,"the brit served the first ace
the brit
brit served the first ace
brit",the brit,0.03360024467110634,1
GP-A-A1,the brit served the first ace defeated the italian.,What did the brit do?,"defeated the italian
defeated",served the first ace defeated the italian.,0.19807778298854828,0
LC-A-AM,the italian defeated the brit served the first ace.,Who defeated?,"the italian
italian",the italian,0.023901261389255524,1
LC-A-PM,the italian defeated the brit served the first ace.,Who was defeated?,"the brit served the first ace
the brit
brit served the first ace
brit",the brit served the first ace,0.017210910096764565,1
LC-A-PE,the italian defeated the brit served the first ace.,Who was served the first ace?,"the brit
brit",the italian defeated the brit,0.4976564645767212,0
LC-A-A1,the italian defeated the brit served the first ace.,What did the italian do?,"defeated the brit
defeated the brit served the first ace
defeated",defeated the brit served the first ace,0.5916743874549866,1
LC-A-A2,the driver worried about the dispatcher handed a pink slip.,What did the dispatcher get?,"handed a pink slip
a pink slip
handed a pink slip
pink slip",a pink slip,0.19927005469799042,1
GP-A-AM,the brit served the first ace defeated the italian.,Who defeated?,"the brit served the first ace
the brit
brit served the first ace
brit",the brit served the first ace defeated the italian,0.019641082733869553,0
GP-U-AM,the brit who was served the first ace defeated the italian.,Who defeated?,"the brit who was served the first ace
the brit
brit who was served the first ace
brit",the brit who was served the first ace defeated the italian,0.17941494286060333,0
GP-U-PM,the brit who was served the first ace defeated the italian.,Who was defeated?,"the italian
italian",the italian,0.28339114785194397,1
GP-U-PE,the brit who was served the first ace defeated the italian.,Who was served the first ace?,"the brit who was served the first ace
the brit
brit who was served the first ace
brit",brit,0.4211638867855072,1
GP-U-A1,the brit who was served the first ace defeated the italian.,What did the brit do?,"defeated the italian
defeated",the first ace,0.08415896445512772,0
LC-U-AM,the italian defeated the brit who was served the first ace.,Who defeated?,"the italian
italian",the italian,0.05614067614078522,1
LC-U-PM,the italian defeated the brit who was served the first ace.,Who was defeated?,"the brit who was served the first ace
the brit
brit who was served the first ace
brit",the brit,0.03719506040215492,1
LC-U-PE,the italian defeated the brit who was served the first ace.,Who was served the first ace?,"the brit
brit",the italian defeated the brit,0.43622666597366333,0
LC-U-A1,the italian defeated the brit who was served the first ace.,What did the italian do?,"defeated the brit
defeated the brit who was served the first ace
defeated",defeated the brit who was served the first ace,0.7400452494621277,1
LC-U-A2,the italian defeated the brit who was served the first ace.,What did the brit get?,"served the first ace
served the first ace
the first ace
first ace",the first ace,0.8212783932685852,1
GP-A-PM,the chef presented the new knife greeted the audience.,Who was greeted?,"the audience
audience",the chef presented the new knife greeted the audience.,0.029394961893558502,0
GP-A-PE,the chef presented the new knife greeted the audience.,Who got a new knife?,"the chef presented the new knife
the chef
chef presented the new knife
chef",the chef,0.25114938616752625,1
GP-A-A1,the chef presented the new knife greeted the audience.,What did the chef do?,"greeted the audience
greeted",the chef presented the new knife,0.260240763425827,0
LC-A-AM,the audience greeted the chef presented the new knife.,Who greeted the chef?,"the audience
audience",the audience,0.2625240981578827,1
LC-A-PM,the audience greeted the chef presented the new knife.,Who was greeted?,"the chef presented the new knife
the chef
chef presented the new knife
chef",the audience,0.014480971731245518,0
LC-A-PE,the audience greeted the chef presented the new knife.,Who got a new knife?,"the chef
chef",the chef,0.3217938542366028,1
LC-A-A1,the audience greeted the chef presented the new knife.,What did the audience do?,"greeted the chef
greeted the chef presented the new knife
greeted",the audience greeted the chef presented the new knife.,0.06061513349413872,0
LC-A-A2,several surgeons assisted the doctor delivered the donor organ.,What did the doctor get?,"delivered the donor organ
the donor organ
delivered the donor organ
donor organ",donor organ,0.004710700362920761,1
GP-A-AM,the chef presented the new knife greeted the audience.,Who greeted the audience?,"the chef presented the new knife
the chef
chef presented the new knife
chef",the chef,0.03638361394405365,1
GP-U-AM,the chef who was presented the new knife greeted the audience.,Who greeted the audience?,"the chef who was presented the new knife
the chef
chef who was presented the new knife
chef",the chef,0.04348986595869064,1
GP-U-PM,the chef who was presented the new knife greeted the audience.,Who was greeted?,"the audience
audience",the chef who was presented the new knife greeted the audience.,0.09870760142803192,0
GP-U-PE,the chef who was presented the new knife greeted the audience.,Who got a new knife?,"the chef who was presented the new knife
the chef
chef who was presented the new knife
chef",the chef,0.4023526608943939,1
GP-U-A1,the chef who was presented the new knife greeted the audience.,What did the chef do?,"greeted the audience
greeted",the new knife,0.060668762773275375,0
LC-U-AM,the audience greeted the chef who was presented the new knife.,Who greeted the chef?,"the audience
audience",the audience,0.3294595181941986,1
LC-U-PM,the audience greeted the chef who was presented the new knife.,Who was greeted?,"the chef who was presented the new knife
the chef
chef who was presented the new knife
chef",the chef,0.06354855746030807,1
LC-U-PE,the audience greeted the chef who was presented the new knife.,Who got a new knife?,"the chef
chef",the chef,0.7407220005989075,1
LC-U-A1,the audience greeted the chef who was presented the new knife.,What did the audience do?,"greeted the chef
greeted the chef who was presented the new knife
greeted",greeted the chef who was presented the new knife.,0.2571372985839844,1
LC-U-A2,the audience greeted the chef who was presented the new knife.,What did the chef get?,"the new knife
the new knife
new knife
new knife
presented the new knife",the new knife,0.5965027213096619,1
GP-A-PM,the child bought an ice cream cone smiled at the cashier.,Who was smiled at?,"the cashier
cashier",the cashier,0.2109459638595581,1
GP-A-PE,the child bought an ice cream cone smiled at the cashier.,Who got an ice cream cone?,"the child bought an ice cream cone
the child
child bought an ice cream cone
child",the child bought an ice cream cone smiled at the cashier,0.09912662953138351,0
GP-A-A1,the child bought an ice cream cone smiled at the cashier.,What did the child do?,"smiled at the cashier
smiled",bought an ice cream cone smiled at the cashier.,0.1796543449163437,0
GP-A-AM,the child bought an ice cream cone smiled at the cashier.,Who smiled?,"the child bought an ice cream cone
the child
child bought an ice cream cone
child",the child bought an ice cream cone smiled at the cashier,0.0686248242855072,0
GP-A-PM,the child read a story hugged the nanny.,Who was hugged?,"the nanny
nanny",the nanny,0.6034519672393799,1
GP-A-PE,the child read a story hugged the nanny.,Who was read a story?,"the child read a story
the child
child read a story
child",the,0.07249508053064346,0
GP-A-A1,the child read a story hugged the nanny.,What did the child do?,"hugged the nanny
hugged",read a story hugged the nanny,0.6902592778205872,0
LC-A-AM,the nanny hugged the child read a story.,Who gave a hug?,"the nanny
nanny",the nanny,0.3683566451072693,1
LC-A-PM,the nanny hugged the child read a story.,Who was hugged?,"the child read a story
the child
child read a story
child",the child read a story.,0.015554508194327354,1
LC-A-PE,the nanny hugged the child read a story.,Who was read a story?,"the child
child",the nanny,0.12093102931976318,0
LC-A-A1,the nanny hugged the child read a story.,What did the nanny do?,"hugged the child
hugged the child read a story
hugged",hugged the child read a story,0.28693389892578125,1
LC-A-A2,the soldier annoyed the general awarded the medal.,What did the general get?,"awarded the medal
the medal
awarded the medal
medal",the medal,0.6654280424118042,1
GP-A-AM,the child read a story hugged the nanny.,Who gave a hug?,"the child read a story
the child
child read a story
child",the child read a story hugged the nanny,0.16102160513401031,0
GP-A-PM,the child saved a front row seat surprised the clown.,Who was surprised?,"the clown
clown",the clown,0.16809171438217163,1
GP-A-PE,the child saved a front row seat surprised the clown.,Who was saved a front row seat?,"the child saved a front row seat
the child
child saved a front row seat
child",the child,0.0011781438952311873,1
GP-A-A1,the child saved a front row seat surprised the clown.,What did the child do?,"surprised the clown
surprised",saved a front row seat surprised the clown.,0.24450509250164032,0
LC-A-AM,the clown surprised the child saved a front row seat.,Who surprised the child?,"the clown
clown",clown,0.22370527684688568,1
LC-A-PM,the clown surprised the child saved a front row seat.,Who was surprised?,"the child saved a front row seat
the child
child saved a front row seat
child",the clown surprised the child saved a front row seat.,0.004705732222646475,0
LC-A-PE,the clown surprised the child saved a front row seat.,Who was saved a front row seat?,"the child
child",the clown surprised the child,0.0034198740031570196,0
LC-A-A2,the carnival worker ignored the girl won a stuffed bear.,What did the girl get?,"won a stuffed bear
a stuffed bear
won a stuffed bear
stuffed bear",stuffed bear,0.6402292847633362,1
LC-A-A1,the clown surprised the child saved a front row seat.,What did the clown do?,"surprised the child
surprised the child saved a front row seat
surprised",the clown surprised the child saved a front row seat,0.1693173199892044,0
GP-A-AM,the child saved a front row seat surprised the clown.,Who surprised the clown?,"the child saved a front row seat
the child
child saved a front row seat
child",the child,0.7002601623535156,1
GP-U-AM,the child who was bought an ice cream cone smiled at the cashier.,Who smiled?,"the child who was bought an ice cream cone
the child
child who was bought an ice cream cone
child",the child who was bought an ice cream cone smiled at the cashier.,0.057863328605890274,0
GP-U-PM,the child who was bought an ice cream cone smiled at the cashier.,Who was smiled at?,"the cashier
cashier",the child who was bought an ice cream cone smiled at the cashier,0.23475779592990875,0
GP-U-PE,the child who was bought an ice cream cone smiled at the cashier.,Who got an ice cream cone?,"the child who was bought an ice cream cone
the child
child who was bought an ice cream cone
child",the child,0.5164750814437866,1
GP-U-A1,the child who was bought an ice cream cone smiled at the cashier.,What did the child do?,"smiled at the cashier
smiled",bought an ice cream cone,0.1710507571697235,0
GP-U-AM,the child who was read a story hugged the nanny.,Who gave a hug?,"the child who was read a story
the child
child who was read a story
child",the child who was read a story hugged the nanny,0.178811714053154,0
GP-U-PM,the child who was read a story hugged the nanny.,Who was hugged?,"the nanny
nanny",the child who was read a story hugged the nanny,0.4526140093803406,0
GP-U-PE,the child who was read a story hugged the nanny.,Who was read a story?,"the child who was read a story
the child
child who was read a story
child",the child,0.4509948194026947,1
GP-U-A1,the child who was read a story hugged the nanny.,What did the child do?,"hugged the nanny
hugged",read a story hugged the nanny,0.32852599024772644,0
LC-U-AM,the nanny hugged the child who was read a story.,Who gave a hug?,"the nanny
nanny",the nanny,0.23537898063659668,1
LC-U-PM,the nanny hugged the child who was read a story.,Who was hugged?,"the child who was read a story
the child
child who was read a story
child",the child who was read a story.,0.008889885619282722,1
