Group,code,context,question
A,FS,The orchestra hated playing their most popular symphony.,What did the orchestra hate?
A,FS,The apple fell far from the tree.,What fell?
A,FS,The telephone company was known for its expensive products.,Who was known for expensive products?
A,FS,The picture frame that Fred bought was not red as promised.,What did Fred buy?
A,FS,The student forgot to turn in his assignment on differential equations.,What did the student forget?
A,FS,The coffee was too hot for the stewardess to hold.,Who held the coffee?
A,FS,Rachel forgot to get her boyfriend a present for his birthday.,What did Rachel forget?
B,LC-A-PM,A cab driver spotted the traveller booked the flight.,Who was spotted?
B,LC-U-PM,A professor talked to the student who was found a scholarship.,Who was talked to?
B,LC-A-AM,The audience greeted the chef presented the new knife.,Who greeted the chef?
B,LC-U-PM,The banker bragged to the millionaire who was sculpted a statue.,Who was bragged to?
B,LC-A-AM,The boy scout thanked the pack leader knitted a scarf.,Who thanked the pack leader?
B,GP-U-PM,The boyfriend who was left a voicemail distrusted the girlfriend.,Who was distrusted?
B,LC-A-PM,The cardinal telephoned the priest mailed a request.,Who was telephoned?
B,LC-U-PM,The cashier smiled at the child who was bought an ice cream cone.,Who was smiled at?
B,GP-A-PE,The child bought an ice cream cone smiled at the cashier.,Who got an ice cream cone?
B,GP-U-PM,The child who was saved a front row seat surprised the clown.,Who was surprised?
B,GP-A-PE,The colonel granted leave phoned a travel agent.,Who was granted leave?
B,GP-U-PM,The dispatcher who was handed a pink slip worried about the driver.,Who was worried about?
B,LC-A-AM,The employees praised the manager prepared the report.,Who praised the manager?
B,GP-U-PM,The general who was awarded the medal annoyed the soldier.,Who was annoyed?
B,GP-U-PM,The girl who was won a stuffed bear ignored the carnival worker.,Who was ignored?
B,GP-U-PM,The golfer who was cooked a special meal toasted the host.,Who was toasted?
B,LC-A-AM,The host toasted the golfer cooked a special meal.,Who toasted?
B,GP-U-PM,The instructor who was submitted the plagiarized papers visited the dean.,Who was visited?
B,LC-A-AM,The mailman envied the neighbour crocheted a blanket.,Who envied the neighbour?
B,LC-U-PM,The mayor waved to the woman who was painted the portrait.,Who was waved to?
B,GP-A-PE,The neighbour crocheted a blanket envied the mailman.,Who was crocheted a blanket?
B,GP-U-PM,The old man who was awarded the prize embraced a friend.,Who was embraced?
B,LC-A-AM,The parents thanked the babysitter purchased a gift card.,Who said thanks?
B,GP-U-PM,The priest who was mailed a request telephoned the cardinal.,Who was telephoned?
B,GP-A-PE,The reporter told the rumour yelled at the witness.,Who was told the rumour?
B,GP-U-PM,The scientist who was shipped critical supplies admired the tribesmen.,Who was admired?
B,LC-A-AM,The soldier annoyed the general awarded the medal.,Who annoyed the general?
B,GP-A-PE,The student called a bad name knew the bus driver.,Who was called a bad name?
B,LC-A-PM,The teacher emailed the principal taught the policy.,Who was emailed?
B,LC-U-PM,The tourist photographed the girl who was played a song.,Who was played a song?
B,LC-A-AM,The tutor hugged the boy sent an invitation.,Who gave a hug?
B,LC-U-PM,The witness yelled at the reporter who was told the rumour.,Who was yelled at?
B,FRC,The tutor that taught the student solved the math problem.,Who was taught?
B,FRC,The volunteer that helped the student was very handsome.,Who was helped?
B,FRC,The waiter that served the guest was tall.,What did the waiter do?
B,FRC,The wrecker that towed the car drove at a high speed.,What was towed?
B,FS,The cat chased the mouse.,Who was chased?
B,FS,The hungry animal ate the human food.,What did the animal do?
B,FS,The orchestra hated playing their most popular symphony.,What did the orchestra hate?
B,FS,The apple fell far from the tree.,What fell?
B,FS,The telephone company was known for its expensive products.,Who was known for expensive products?
B,FS,The picture frame that Fred bought was not red as promised.,What did Fred buy?
B,FS,The student forgot to turn in his assignment on differential equations.,What did the student forget?
B,FS,The coffee was too hot for the stewardess to hold.,Who held the coffee?
B,FS,Rachel forgot to get her boyfriend a present for his birthday.,What did Rachel forget?
C,LC-A-PE,A cab driver spotted the traveller booked the flight.,Who was booked the flight?
C,LC-U-PE,A professor talked to the student who was found a scholarship.,Who was found a scholarship?
C,LC-A-PM,The audience greeted the chef presented the new knife.,Who was greeted?
C,LC-U-PE,The banker bragged to the millionaire who was sculpted a statue.,Who was sculpted a statue?
C,LC-A-PM,The boy scout thanked the pack leader knitted a scarf.,Who was thanked?
C,GP-U-PE,The boyfriend who was left a voicemail distrusted the girlfriend.,Who got a voicemail?
C,LC-A-PE,The cardinal telephoned the priest mailed a request.,Who was mailed a request?
C,LC-U-PE,The cashier smiled at the child who was bought an ice cream cone.,Who got an ice cream cone?
C,GP-A-A1,The child bought an ice cream cone smiled at the cashier.,What did the child do?
C,GP-U-PE,The child who was saved a front row seat surprised the clown.,Who was saved a front row seat?
C,GP-A-A1,The colonel granted leave phoned a travel agent.,What did the colonel do?
C,GP-U-PE,The dispatcher who was handed a pink slip worried about the driver.,Who was handed a pink slip?
C,LC-A-PM,The employees praised the manager prepared the report.,Who was praised?
C,GP-U-PE,The general who was awarded the medal annoyed the soldier.,Who was awarded the medal?
C,GP-U-PE,The girl who was won a stuffed bear ignored the carnival worker.,Who was won a stuffed bear?
C,GP-U-PE,The golfer who was cooked a special meal toasted the host.,Who was cooked a special meal?
C,LC-A-PM,The host toasted the golfer cooked a special meal.,Who was toasted?
C,GP-U-PE,The instructor who was submitted the plagiarized papers visited the dean.,Who was submitted the plagarized papers?
C,LC-A-PM,The mailman envied the neighbour crocheted a blanket.,Who was envied?
C,LC-U-PE,The mayor waved to the woman who was painted the portrait.,Who was painted the portrait?
C,GP-A-A1,The neighbour crocheted a blanket envied the mailman.,What did the neighbor do?
C,GP-U-PE,The old man who was awarded the prize embraced a friend.,Who was awarded the prize?
C,LC-A-PM,The parents thanked the babysitter purchased a gift card.,Who was thanked?
C,GP-U-PE,The priest who was mailed a request telephoned the cardinal.,Who was mailed a request?
C,GP-A-A1,The reporter told the rumour yelled at the witness.,What did the reporter do?
C,GP-U-PE,The scientist who was shipped critical supplies admired the tribesmen.,Who was shipped critical supplies?
C,LC-A-PM,The soldier annoyed the general awarded the medal.,Who was annoyed?
C,GP-A-A1,The student called a bad name knew the bus driver.,What did the student do?
C,LC-A-PE,The teacher emailed the principal taught the policy.,Who was taught the policy?
C,LC-U-PE,The tourist photographed the girl who was played a song.,Who was photographed?
C,LC-A-PM,The tutor hugged the boy sent an invitation.,Who got a hug?
C,LC-U-PE,The witness yelled at the reporter who was told the rumour.,Who was told the rumour?
C,FRC,The tutor that taught the student solved the math problem.,Who was taught?
C,FRC,The volunteer that helped the student was very handsome.,Who was helped?
C,FRC,The waiter that served the guest was tall.,What did the waiter do?
C,FRC,The wrecker that towed the car drove at a high speed.,What was towed?
C,FS,The cat chased the mouse.,Who was chased?
C,FS,The hungry animal ate the human food.,What did the animal do?
C,FS,The orchestra hated playing their most popular symphony.,What did the orchestra hate?
C,FS,The apple fell far from the tree.,What fell?
C,FS,The telephone company was known for its expensive products.,Who was known for expensive products?
C,FS,The picture frame that Fred bought was not red as promised.,What did Fred buy?
C,FS,The student forgot to turn in his assignment on differential equations.,What did the student forget?
C,FS,The coffee was too hot for the stewardess to hold.,Who held the coffee?
C,FS,Rachel forgot to get her boyfriend a present for his birthday.,What did Rachel forget?
D,LC-A-A1,A cab driver spotted the traveller booked the flight.,What did the cab driver do?
D,LC-U-A2,A professor talked to the student who was found a scholarship.,What did the student get?
D,LC-A-PE,The audience greeted the chef presented the new knife.,Who got a new knife?
D,LC-U-A2,The banker bragged to the millionaire who was sculpted a statue.,What did the millionaire get?
D,LC-A-PE,The boy scout thanked the pack leader knitted a scarf.,Who was knitted a scarf?
D,GP-U-A1,The boyfriend who was left a voicemail distrusted the girlfriend.,What did the boyfriend do?
D,LC-A-A2,The cardinal telephoned the priest mailed a request.,What did the priest get?
D,LC-U-A2,The cashier smiled at the child who was bought an ice cream cone.,What did the child get?
D,GP-A-AM,The child bought an ice cream cone smiled at the cashier.,Who smiled?
D,GP-U-A1,The child who was saved a front row seat surprised the clown.,What did the child do?
D,GP-A-AM,The colonel granted leave phoned a travel agent.,Who phoned?
D,GP-U-A1,The dispatcher who was handed a pink slip worried about the driver.,What did the dispatcher do?
D,LC-A-PE,The employees praised the manager prepared the report.,Who was prepared the report?
D,GP-U-A1,The general who was awarded the medal annoyed the soldier.,What did the general do?
D,GP-U-A1,The girl who was won a stuffed bear ignored the carnival worker.,What did the girl do?
D,GP-U-A1,The golfer who was cooked a special meal toasted the host.,What did the golfer do?
D,LC-A-PE,The host toasted the golfer cooked a special meal.,Who was cooked a special meal?
D,GP-U-A1,The instructor who was submitted the plagiarized papers visited the dean.,What did the instructor do?
D,LC-A-PE,The mailman envied the neighbour crocheted a blanket.,Who was crocheted a blanket?
D,LC-U-A2,The mayor waved to the woman who was painted the portrait.,What did the woman get?
D,GP-A-AM,The neighbour crocheted a blanket envied the mailman.,Who envied the mailman?
D,GP-U-A1,The old man who was awarded the prize embraced a friend.,What did the old man do?
D,LC-A-PE,The parents thanked the babysitter purchased a gift card.,Who got a gift card?
D,GP-U-A1,The priest who was mailed a request telephoned the cardinal.,What did the priest do?
D,GP-A-AM,The reporter told the rumour yelled at the witness.,Who yelled?
D,GP-U-A1,The scientist who was shipped critical supplies admired the tribesmen.,What did the scientist do?
D,LC-A-PE,The soldier annoyed the general awarded the medal.,Who was awarded the medal?
D,GP-A-AM,The student called a bad name knew the bus driver.,Who knew the bus driver?
D,LC-A-A2,The teacher emailed the principal taught the policy.,What did the principal get?
D,LC-U-A2,The tourist photographed the girl who was played a song.,What did the girl get?
D,LC-A-PE,The tutor hugged the boy sent an invitation.,Who got an invitation?
D,LC-U-A2,The witness yelled at the reporter who was told the rumour.,What did the reporter get?
D,FRC,The tutor that taught the student solved the math problem.,Who was taught?
D,FRC,The volunteer that helped the student was very handsome.,Who was helped?
D,FRC,The waiter that served the guest was tall.,What did the waiter do?
D,FRC,The wrecker that towed the car drove at a high speed.,What was towed?
D,FS,The cat chased the mouse.,Who was chased?
D,FS,The hungry animal ate the human food.,What did the animal do?
D,FS,The orchestra hated playing their most popular symphony.,What did the orchestra hate?
D,FS,The apple fell far from the tree.,What fell?
D,FS,The telephone company was known for its expensive products.,Who was known for expensive products?
D,FS,The picture frame that Fred bought was not red as promised.,What did Fred buy?
D,FS,The student forgot to turn in his assignment on differential equations.,What did the student forget?
D,FS,The coffee was too hot for the stewardess to hold.,Who held the coffee?
D,FS,Rachel forgot to get her boyfriend a present for his birthday.,What did Rachel forget?
E,LC-A-A2,A cab driver spotted the traveller booked the flight.,What did the traveller get?
E,LC-U-A1,A professor talked to the student who was found a scholarship.,What did a professor do?
E,LC-A-A1,The audience greeted the chef presented the new knife.,What did the audience do?
E,LC-U-A1,The banker bragged to the millionaire who was sculpted a statue.,What did the banker do?
E,LC-A-A1,The boy scout thanked the pack leader knitted a scarf.,What did the boy scout do?
E,GP-U-A2,The boyfriend who was left a voicemail distrusted the girlfriend.,What did the boyfriend get?
E,LC-A-A1,The cardinal telephoned the priest mailed a request.,What did the cardinal do?
E,LC-U-A1,The cashier smiled at the child who was bought an ice cream cone.,What did the cashier do?
E,GP-A-A2,The child bought an ice cream cone smiled at the cashier.,What did the child get?
E,GP-U-A2,The child who was saved a front row seat surprised the clown.,What did the child get?
E,GP-A-A2,The colonel granted leave phoned a travel agent.,What did the colonel get?
E,GP-U-A2,The dispatcher who was handed a pink slip worried about the driver.,What did the dispatcher get?
E,LC-A-A1,The employees praised the manager prepared the report.,What did the employees do?
E,GP-U-A2,The general who was awarded the medal annoyed the soldier.,What did the general get?
E,GP-U-A2,The girl who was won a stuffed bear ignored the carnival worker.,What did the girl get?
E,GP-U-A2,The golfer who was cooked a special meal toasted the host.,What did the golfer get?
E,LC-A-A1,The host toasted the golfer cooked a special meal.,What did the host do?
E,GP-U-A2,The instructor who was submitted the plagiarized papers visited the dean.,What did the instructor get?
E,LC-A-A1,The mailman envied the neighbour crocheted a blanket.,What did the mailman do?
E,LC-U-A1,The mayor waved to the woman who was painted the portrait.,What did the mayor do?
E,GP-A-A2,The neighbour crocheted a blanket envied the mailman.,What did the neighbour get?
E,GP-U-A2,The old man who was awarded the prize embraced a friend.,What did the old get?
E,LC-A-A1,The parents thanked the babysitter purchased a gift card.,What did the parents do?
E,GP-U-A2,The priest who was mailed a request telephoned the cardinal.,What did the priest get?
E,GP-A-A2,The reporter told the rumour yelled at the witness.,What did the reporter get?
E,GP-U-A2,The scientist who was shipped critical supplies admired the tribesmen.,What did the scientist get?
E,LC-A-A1,The soldier annoyed the general awarded the medal.,What did the soldier do?
E,GP-A-A2,The student called a bad name knew the bus driver.,What did the student get?
E,LC-A-A1,The teacher emailed the principal taught the policy.,What did the teacher do?
E,LC-U-A1,The tourist photographed the girl who was played a song.,What did the tourist do?
E,LC-A-A1,The tutor hugged the boy sent an invitation.,What did the tutor do?
E,LC-U-A1,The witness yelled at the reporter who was told the rumour.,What did the witness do?
E,FRC,The tutor that taught the student solved the math problem.,Who was taught?
E,FRC,The volunteer that helped the student was very handsome.,Who was helped?
E,FRC,The waiter that served the guest was tall.,What did the waiter do?
E,FRC,The wrecker that towed the car drove at a high speed.,What was towed?
E,FS,The cat chased the mouse.,Who was chased?
E,FS,The hungry animal ate the human food.,What did the animal do?
E,FS,The orchestra hated playing their most popular symphony.,What did the orchestra hate?
E,FS,The apple fell far from the tree.,What fell?
E,FS,The telephone company was known for its expensive products.,Who was known for expensive products?
E,FS,The picture frame that Fred bought was not red as promised.,What did Fred buy?
E,FS,The student forgot to turn in his assignment on differential equations.,What did the student forget?
E,FS,The coffee was too hot for the stewardess to hold.,Who held the coffee?
E,FS,Rachel forgot to get her boyfriend a present for his birthday.,What did Rachel forget?
F,LC-U-AM,A cab driver spotted the traveller who was booked the flight.,Who spotted the traveller?
F,LC-A-A2,A travel agent phoned the colonel granted leave.,What did the colonel get?
F,LC-U-AM,The audience greeted the chef who was presented the new knife.,Who greeted the chef?
F,LC-A-AM,The bartender winked at the woman offered a free drink.,Who winked?
F,LC-U-AM,The boy scout thanked the pack leader who was knitted a scarf.,Who thanked the pack leader?
F,GP-A-PM,The brit served the first ace defeated the italian.,Who was defeated?
F,LC-U-AM,The cardinal telephoned the priest who was mailed a request.,Who telephoned?
F,LC-A-AM,The cheerleader smiled at the teenager burned a cd.,Who smiled?
F,GP-A-PM,The child read a story hugged the nanny.,Who was hugged?
F,LC-U-AM,The classmate  tattled on the girl who was passed a note.,Who tattled?
F,GP-U-AM,The colonel who was granted leave phoned a travel agent.,Who phoned?
F,GP-A-PM,The doctor delivered the donor organ assisted several surgeons.,Who was assisted?
F,LC-U-AM,The employees praised the manager who was prepared the report.,Who praised the manager?
F,GP-A-PM,The girl passed a note tattled on the classmate.,Who was tattled on?
F,GP-A-PM,The girl won a stuffed bear ignored the carnival worker.,Who was ignored?
F,LC-A-A2,The guard whispered to the prisoner procured a weekend pass.,What did the prisoner get?
F,LC-U-AM,The host toasted the golfer who was cooked a special meal.,Who toasted?
F,LC-A-A2,The italian defeated the brit served the first ace.,What did the brit get?
F,LC-U-AM,The mailman envied the neighbour who was crocheted a blanket.,Who envied the neighbour?
F,GP-A-PM,The millionaire sculpted a statue bragged to the banker.,Who was bragged to?
F,GP-U-AM,The neighbour who was crocheted a blanket envied the mailman.,Who envied the mailman?
F,LC-A-A2,The other team interfered with the player tossed the ball.,What did the player get?
F,LC-A-AM,The parents thanked the babysitter who was purchased a gift card.,Who said thanks?
F,GP-A-PM,The principal taught the policy emailed the teacher.,Who was emailed?
F,GP-U-AM,The reporter who was told the rumour yelled at the witness.,Who yelled?
F,GP-A-PM,The secretary poured a beer chatted up the lawyer.,Who was chatted up?
F,LC-U-AM,The soldier annoyed the general who was awarded the medal.,Who annoyed the general?
F,GP-A-PM,The student found a scholarship talked to a professor.,Who was talked to?
F,LC-U-AM,The teacher emailed the principal who was taught the policy.,Who emailed?
F,GP-A-PM,The traveller booked the flight spotted a cab driver.,Who was spotted?
F,LC-U-AM,The tutor hugged the boy who was sent an invitation.,Who gave a hug?
F,GP-A-PM,The woman offered a free drink winked at the bartender.,Who was winked at?
F,FRC,The tutor that taught the student solved the math problem.,Who was taught?
F,FRC,The volunteer that helped the student was very handsome.,Who was helped?
F,FRC,The waiter that served the guest was tall.,What did the waiter do?
F,FRC,The wrecker that towed the car drove at a high speed.,What was towed?
F,FS,The cat chased the mouse.,Who was chased?
F,FS,The hungry animal ate the human food.,What did the animal do?
F,FS,The orchestra hated playing their most popular symphony.,What did the orchestra hate?
F,FS,The apple fell far from the tree.,What fell?
F,FS,The telephone company was known for its expensive products.,Who was known for expensive products?
F,FS,The picture frame that Fred bought was not red as promised.,What did Fred buy?
F,FS,The student forgot to turn in his assignment on differential equations.,What did the student forget?
F,FS,The coffee was too hot for the stewardess to hold.,Who held the coffee?
F,FS,Rachel forgot to get her boyfriend a present for his birthday.,What did Rachel forget?
G,LC-U-PM,A cab driver spotted the traveller who was booked the flight.,Who was spotted?
G,LC-A-AM,A travel agent phoned the colonel granted leave.,Who phoned?
G,LC-U-PM,The audience greeted the chef who was presented the new knife.,Who was greeted?
G,LC-A-PM,The bartender winked at the woman offered a free drink.,Who was winked at?
G,LC-U-PM,The boy scout thanked the pack leader who was knitted a scarf.,Who was thanked?
G,GP-A-PE,The brit served the first ace defeated the italian.,Who was served the first ace?
G,LC-U-PM,The cardinal telephoned the priest who was mailed a request.,Who was telephoned?
G,LC-A-PM,The cheerleader smiled at the teenager burned a cd.,Who was smiled at?
G,GP-A-PE,The child read a story hugged the nanny.,Who was read a story?
G,LC-U-PM,The classmate  tattled on the girl who was passed a note.,Who was tattled on?
G,GP-U-PM,The colonel who was granted leave phoned a travel agent.,Who was phoned?
G,GP-A-PE,The doctor delivered the donor organ assisted several surgeons.,Who was delivered the donor organ?
G,LC-U-PM,The employees praised the manager who was prepared the report.,Who was praised?
G,GP-A-PE,The girl passed a note tattled on the classmate.,Who was passed a note?
G,GP-A-PE,The girl won a stuffed bear ignored the carnival worker.,Who was won a stuffed bear?
G,LC-A-AM,The guard whispered to the prisoner procured a weekend pass.,Who whispered?
G,LC-U-PM,The host toasted the golfer who was cooked a special meal.,Who was toasted?
G,LC-A-AM,The italian defeated the brit served the first ace.,Who defeated?
G,LC-U-PM,The mailman envied the neighbour who was crocheted a blanket.,Who was envied?
G,GP-A-PE,The millionaire sculpted a statue bragged to the banker.,Who was sculpted a statue?
G,GP-U-PM,The neighbour who was crocheted a blanket envied the mailman.,Who was envied?
G,LC-A-AM,The other team interfered with the player tossed the ball.,Who interfered?
G,LC-A-PM,The parents thanked the babysitter who was purchased a gift card.,Who was thanked?
G,GP-A-PE,The principal taught the policy emailed the teacher.,Who was taught the policy?
G,GP-U-PM,The reporter who was told the rumour yelled at the witness.,Who was yelled at?
G,GP-A-PE,The secretary poured a beer chatted up the lawyer.,Who was poured a beer?
G,LC-U-PM,The soldier annoyed the general who was awarded the medal.,Who was annoyed?
G,GP-A-PE,The student found a scholarship talked to a professor.,Who was found a scholarship?
G,LC-U-PM,The teacher emailed the principal who was taught the policy.,Who was emailed?
G,GP-A-PE,The traveller booked the flight spotted a cab driver.,Who was booked the flight?
G,LC-U-PM,The tutor hugged the boy who was sent an invitation.,Who got a hug?
G,GP-A-PE,The woman offered a free drink winked at the bartender.,Who was offered a free drink?
G,FRC,The tutor that taught the student solved the math problem.,Who was taught?
G,FRC,The volunteer that helped the student was very handsome.,Who was helped?
G,FRC,The waiter that served the guest was tall.,What did the waiter do?
G,FRC,The wrecker that towed the car drove at a high speed.,What was towed?
G,FS,The cat chased the mouse.,Who was chased?
G,FS,The hungry animal ate the human food.,What did the animal do?
G,FS,The orchestra hated playing their most popular symphony.,What did the orchestra hate?
G,FS,The apple fell far from the tree.,What fell?
G,FS,The telephone company was known for its expensive products.,Who was known for expensive products?
G,FS,The picture frame that Fred bought was not red as promised.,What did Fred buy?
G,FS,The student forgot to turn in his assignment on differential equations.,What did the student forget?
G,FS,The coffee was too hot for the stewardess to hold.,Who held the coffee?
G,FS,Rachel forgot to get her boyfriend a present for his birthday.,What did Rachel forget?
H,LC-U-PE,A cab driver spotted the traveller who was booked the flight.,Who was booked the flight?
H,LC-A-PM,A travel agent phoned the colonel granted leave.,Who was phoned?
H,LC-U-PE,The audience greeted the chef who was presented the new knife.,Who got a new knife?
H,LC-A-PE,The bartender winked at the woman offered a free drink.,Who was offered a free drink?
H,LC-U-PE,The boy scout thanked the pack leader who was knitted a scarf.,Who was knitted a scarf?
H,GP-A-A1,The brit served the first ace defeated the italian.,What did the brit do?
H,LC-U-PE,The cardinal telephoned the priest who was mailed a request.,Who was mailed a request?
H,LC-A-PE,The cheerleader smiled at the teenager burned a cd.,Who was burned a cd?
H,GP-A-A1,The child read a story hugged the nanny.,What did the child do?
H,LC-U-PE,The classmate  tattled on the girl who was passed a note.,Who was passed a note?
H,GP-U-PE,The colonel who was granted leave phoned a travel agent.,Who was granted leave?
H,GP-A-A1,The doctor delivered the donor organ assisted several surgeons.,What did the doctor do?
H,LC-U-PE,The employees praised the manager who was prepared the report.,Who was prepared the report?
H,GP-A-A1,The girl passed a note tattled on the classmate.,What did the girl do?
H,GP-A-A1,The girl won a stuffed bear ignored the carnival worker.,What did the girl do?
H,LC-A-PM,The guard whispered to the prisoner procured a weekend pass.,Who was whispered to?
H,LC-U-PE,The host toasted the golfer who was cooked a special meal.,Who was cooked a special meal?
H,LC-A-PM,The italian defeated the brit served the first ace.,Who was defeated?
H,LC-U-PE,The mailman envied the neighbour who was crocheted a blanket.,Who was crocheted a blanket?
H,GP-A-A1,The millionaire sculpted a statue bragged to the banker.,What did the millionaire do?
H,GP-U-PE,The neighbour who was crocheted a blanket envied the mailman.,Who was crocheted a blanket?
H,LC-A-PM,The other team interfered with the player tossed the ball.,Who was interfered with?
H,LC-U-PE,The parents thanked the babysitter who was purchased a gift card.,Who got a gift card?
H,GP-A-A1,The principal taught the policy emailed the teacher.,What did the principal do?
H,GP-U-PE,The reporter who was told the rumour yelled at the witness.,Who was told the rumour?
H,GP-A-A1,The secretary poured a beer chatted up the lawyer.,What did the secretary do?
H,LC-U-PE,The soldier annoyed the general who was awarded the medal.,Who was awarded the medal?
H,GP-A-A1,The student found a scholarship talked to a professor.,What did the student do?
H,LC-U-PE,The teacher emailed the principal who was taught the policy.,Who was taught the policy?
H,GP-A-A1,The traveller booked the flight spotted a cab driver.,What did the traveller do?
H,LC-U-PE,The tutor hugged the boy who was sent an invitation.,Who got an invitation?
H,GP-A-A1,The woman offered a free drink winked at the bartender.,What did the woman do?
H,FRC,The tutor that taught the student solved the math problem.,Who was taught?
H,FRC,The volunteer that helped the student was very handsome.,Who was helped?
H,FRC,The waiter that served the guest was tall.,What did the waiter do?
H,FRC,The wrecker that towed the car drove at a high speed.,What was towed?
H,FS,The cat chased the mouse.,Who was chased?
H,FS,The hungry animal ate the human food.,What did the animal do?
H,FS,The orchestra hated playing their most popular symphony.,What did the orchestra hate?
H,FS,The apple fell far from the tree.,What fell?
H,FS,The telephone company was known for its expensive products.,Who was known for expensive products?
H,FS,The picture frame that Fred bought was not red as promised.,What did Fred buy?
H,FS,The student forgot to turn in his assignment on differential equations.,What did the student forget?
H,FS,The coffee was too hot for the stewardess to hold.,Who held the coffee?
H,FS,Rachel forgot to get her boyfriend a present for his birthday.,What did Rachel forget?
I,LC-U-A2,A cab driver spotted the traveller who was booked the flight.,What did the traveller get?
I,LC-A-PE,A travel agent phoned the colonel granted leave.,Who was granted leave?
I,LC-U-A1,The audience greeted the chef who was presented the new knife.,What did the audience do?
I,LC-A-A1,The bartender winked at the woman offered a free drink.,What did the bartender do?
I,LC-U-A2,The boy scout thanked the pack leader who was knitted a scarf.,What did the pack leader get?
I,GP-A-AM,The brit served the first ace defeated the italian.,Who defeated?
I,LC-U-A2,The cardinal telephoned the priest who was mailed a request.,What did the priest get?
I,LC-A-A1,The cheerleader smiled at the teenager burned a cd.,What did the cheerleader do?
I,GP-A-AM,The child read a story hugged the nanny.,Who gave a hug?
I,LC-U-A2,The classmate  tattled on the girl who was passed a note.,What did the girl get?
I,GP-U-A1,The colonel who was granted leave phoned a travel agent.,What did the colonel do?
I,GP-A-AM,The doctor delivered the donor organ assisted several surgeons.,Who assisted several surgeons?
I,LC-U-A2,The employees praised the manager who was prepared the report.,What did the manager get?
I,GP-A-AM,The girl passed a note tattled on the classmate.,Who tattled?
I,GP-A-AM,The girl won a stuffed bear ignored the carnival worker.,Who ignored the carnival worker?
I,LC-A-PE,The guard whispered to the prisoner procured a weekend pass.,Who was procured a weekend pass?
I,LC-U-A2,The host toasted the golfer who was cooked a special meal.,What did the golfer get?
I,LC-A-PE,The italian defeated the brit served the first ace.,Who was served the first ace?
I,LC-U-A2,The mailman envied the neighbour who was crocheted a blanket.,What did the neighbor get?
I,GP-A-AM,The millionaire sculpted a statue bragged to the banker.,Who bragged?
I,GP-U-A1,The neighbour who was crocheted a blanket envied the mailman.,What did the neighbor do?
I,LC-A-PE,The other team interfered with the player tossed the ball.,Who was tossed the ball?
I,LC-U-A2,The parents thanked the babysitter who was purchased a gift card.,What did the babysitter get?
